minute,arterial_reference_map,displayed_map
0,71.99271638695213,71.99271638695213
1,71.98656145544922,71.96991650036499
2,71.97581755306109,71.94711661377787
3,71.95755848388318,71.92431672719073
4,71.92735191453025,71.9015168406036
5,71.87871695401647,71.87871695401647
6,71.80252202939523,71.68677675879006
7,71.68639725648912,71.49483656356367
8,71.51428256911555,71.30289636833726
9,71.26628032838941,71.11095617311086
10,70.91901597788446,70.91901597788446
11,70.44671544301133,70.10379551361088
12,69.8231654987325,69.2885750493373
13,69.02462001201144,68.47335458506373
14,68.0335489299018,67.65813412079015
15,66.84291365651657,66.84291365651657
16,65.4604277515378,65.24051466100535
17,63.91207864589001,63.63811566549412
18,62.244104607734634,62.0357166699829
19,60.52269327080808,60.43331767447167
20,58.830918678960444,58.830918678960444
21,57.26284644459633,57.86473494316836
22,55.91524775204672,56.898551207376265
23,54.87787035898715,55.93236747158418
24,54.22359959111013,54.966183735792086
25,54.0,54.0
26,54.22359959111013,54.966183735792086
27,54.87787035898715,55.93236747158418
28,55.91524775204672,56.898551207376265
29,57.26284644459633,57.86473494316836
30,58.830918678960444,58.830918678960444
31,60.52269327080808,60.43331767447167
32,62.244104607734634,62.0357166699829
33,63.91207864589001,63.63811566549412
34,65.4604277515378,65.24051466100535
35,66.84291365651657,66.84291365651657
36,68.0335489299018,67.65813412079015
37,69.02462001201144,68.47335458506373
38,69.8231654987325,69.2885750493373
39,70.44671544301133,70.10379551361088
40,70.91901597788446,70.91901597788446
41,71.26628032838941,71.11095617311086
42,71.51428256911555,71.30289636833726
43,71.68639725648912,71.49483656356367
44,71.80252202939523,71.68677675879006
45,71.87871695401647,71.87871695401647
46,71.92735191453025,71.9015168406036
47,71.95755848388318,71.92431672719073
48,71.97581755306109,71.94711661377787
49,71.98656145544922,71.96991650036499
50,71.99271638695213,71.99271638695213
51,71.99614979252338,71.99412628329014
52,71.9980149838763,71.99553617962816
53,71.99900187121023,71.99694607596619
54,71.99951050105052,71.99835597230421
55,71.99976586864223,71.99976586864223
56,71.99989077802101,71.99976586864223
57,71.99995030609371,71.99976586864223
58,71.99997794846276,71.99976586864223
59,71.99999045628984,71.99976586864223
