threshold,interval_min,n_cases,true_auc_total,hidden_auc_total,HDR,HDR_ci_low,HDR_ci_high,overdisplay_auc_total,ODR,ODR_ci_low,ODR_ci_high,NetBias,NetBias_ci_low,NetBias_ci_high,normotensive_display_discordance_min_per_anesthesia_hour,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high,reference_hypotension_with_display_unavailable_min_per_anesthesia_hour,reference_hypotension_with_display_unavailable_ci_low,reference_hypotension_with_display_unavailable_ci_high,episode_sensitivity
55.0,1.0,2435,65826.83333333333,32430.347222222223,0.4926615117273182,0.4717328764207174,0.5127545564803715,29160.61111111111,0.4429897297876668,0.4235348459239745,0.4607817950380766,-0.0496717819396514,-0.0540998537827277,-0.045535015652178,0.1928765584847648,0.1824698426323563,0.2041766695558966,0.2300607011135393,0.2197734462399562,0.2415154411702841,0.0501609078615148,0.0484090195112623,0.0520659330084869,1.0
55.0,2.5,2435,65826.83333333333,44952.83888888889,0.6828953576007083,0.6585083870467846,0.7051092363208078,40844.894444444435,0.6204900399448721,0.5984429589618717,0.6405279201369606,-0.0624053176558361,-0.0679998239498716,-0.0568724569587848,0.2806341268501095,0.2644098159722509,0.2980024564304744,0.3484274410112383,0.331804518372548,0.3666900515642479,0.0841962215779067,0.0806346106907466,0.0877275531591836,0.7519071310116087
55.0,3.0,2435,65826.83333333333,47019.31018518518,0.7142878945291082,0.6904980046308838,0.7377268194962168,42772.69907407407,0.6497760397721407,0.6276061921095174,0.6701912669636111,-0.0645118547569675,-0.0709417148638431,-0.0587940292393305,0.2964615037494346,0.2772518494476365,0.3144132161334202,0.3707703373374033,0.3507977488648554,0.3893612577318306,0.0913906407154375,0.0871014894565445,0.0956904747962196,0.683605780620706
55.0,5.0,2435,65826.83333333333,52196.225000000006,0.792932340155104,0.7678969476865211,0.8131092099300875,47939.50277777777,0.7282668837345122,0.7056561732009629,0.7469690579675997,-0.0646654564205919,-0.0718390709721302,-0.0586494293129081,0.3339651511573082,0.3133406092464237,0.3563789314561789,0.4293925602372466,0.4075963864589509,0.4534157231326303,0.1131386367866411,0.1075053493856695,0.1184161796077213,0.50075811419095
55.0,10.0,2435,65826.83333333333,57233.96111111111,0.8694624701341821,0.8505865663839545,0.8888676313044542,52862.67638888888,0.8030566520069914,0.7858094803732508,0.8203015137193459,-0.0664058181271906,-0.0742090642468753,-0.0591289072860422,0.3621639410473409,0.3356034094819368,0.3915570951554207,0.4903255352879699,0.4612068875199601,0.5215369253102995,0.1482947103644109,0.1407523406521181,0.1562292479330387,0.3127339493011135
60.0,1.0,2435,120110.5,49180.19444444444,0.409457911210464,0.3943923425298739,0.4249590855923009,45269.01388888888,0.3768947251813029,0.3632749304403916,0.3909207381648396,-0.0325631860291611,-0.0353999286583372,-0.0299739713127742,0.3782880968456191,0.3615279309435162,0.3959397094687931,0.4199426214676718,0.4029120524561747,0.4377600685174235,0.0552181353674242,0.0533593609560103,0.0570906009444534,1.0
60.0,2.5,2435,120110.5,71530.43333333332,0.5955385526938387,0.5753943054789009,0.6139958250003461,66594.61666666667,0.5544445878309279,0.536371302982288,0.5710156553423231,-0.0410939648629108,-0.0451093831126379,-0.036958329935073,0.6125585515041799,0.5821141406873936,0.6424624602534639,0.6921106387899705,0.6602661220026866,0.7221540913971431,0.0976085182352174,0.0936942831021564,0.1016544343130426,0.79651728553137
60.0,3.0,2435,120110.5,75612.58796296296,0.6295252118920741,0.6097428292016002,0.6474385189908423,70489.95370370371,0.586875866004252,0.56916210923764,0.6029447344931383,-0.042649345887822,-0.0464098943468104,-0.0386534438123532,0.6620844771786615,0.6312612173080238,0.694058711552002,0.7500528113016474,0.7185333780778957,0.7822247340221775,0.1073975233009791,0.1030501706570122,0.1121748225753087,0.7367335325081804
60.0,5.0,2435,120110.5,86197.83055555556,0.7176544145229231,0.6973222987106832,0.7350912826614593,80993.67499999999,0.6743263494865144,0.6563527729276766,0.6903165616337826,-0.0433280650364087,-0.0479273523238283,-0.0386602382571741,0.7927954932565986,0.7500014028551494,0.830774300307051,0.9106789486144836,0.865875484819952,0.9486223012881402,0.1391934268699875,0.1323021017058718,0.145622262465054,0.5651301749893298
60.0,10.0,2435,120110.5,97292.96805555554,0.8100288322466024,0.7919755019561424,0.8275103927819595,91793.69722222222,0.7642437357451866,0.747575376827715,0.7808099529610638,-0.0457850965014158,-0.0510722196042375,-0.0410204580917968,0.9189871276587482,0.8704727243128831,0.971462926583346,1.0928895899071778,1.0421880838972355,1.1465855502766005,0.2007989729052851,0.1911634086638815,0.2104571408180078,0.3737046521553563
65.0,1.0,2435,262221.8333333333,79485.68055555556,0.3031238075988672,0.2936000766997126,0.3131568551298618,74908.40277777778,0.2856680613721249,0.2767595390629442,0.2949429558748526,-0.0174557462267423,-0.019027712514179,-0.0159929465501042,0.7129683940541043,0.6854098444743217,0.73977125267547,0.7605776746131494,0.7328207365539844,0.7877237185425093,0.0613454929257787,0.0594747134336016,0.0634470023488429,1.0
