sheet,source_csv,data_rows,columns,scope,description
"Analysis_Window","outputs/tables/analytic_time_window_specification.csv","1","4","aggregate_public_safe","analytic time window specification"
"Cohort_Flow","outputs/tables/cohort_flow.csv","7","3","aggregate_public_safe","cohort flow"
"Cohort_Overlap","outputs/tables/cohort_membership_overlap.csv","9","2","aggregate_public_safe","cohort membership overlap"
"Episode_By_Duration","outputs/tables/episode_detection_by_duration.csv","75","9","aggregate_public_safe","episode detection by duration"
"Episode_Detect_by_Thresh_interv","outputs/tables/episode_detection_by_threshold_interval.csv","15","7","aggregate_public_safe","episode detection by threshold interval"
"Episode_Detection","outputs/tables/episode_detection_frequency.csv","15","7","aggregate_public_safe","episode detection frequency"
"Figure1_Source","outputs/tables/figure1_source.csv","60","3","aggregate_public_safe","figure1 source"
"Figure2_Source","outputs/tables/figure2_source.csv","15","46","aggregate_public_safe","figure2 source"
"Figure4_Source","outputs/tables/figure4_source.csv","9","28","aggregate_public_safe","figure4 source"
"Frequency_Population","outputs/tables/frequency_decomp_population.csv","15","46","aggregate_public_safe","frequency decomp population"
"Frequency_Primary","outputs/tables/frequency_decomposition_bootstrap.csv","15","46","aggregate_public_safe","frequency decomposition bootstrap"
"Frequency_Denominators","outputs/tables/frequency_denominator_checks.csv","15","8","aggregate_public_safe","frequency denominator checks"
"INSPIRE_guardrail_report","outputs/tables/inspire_guardrail_report.csv","1","3","aggregate_public_safe","inspire guardrail report"
"INSPIRE_resource_burden","outputs/tables/inspire_resource_burden.csv","9","7","aggregate_public_safe","inspire resource burden"
"INSPIRE_Resources","outputs/tables/inspire_resource_scenarios.csv","9","7","aggregate_public_safe","inspire resource scenarios"
"linkage_gate_report","outputs/tables/linkage_gate_report.csv","1","10","aggregate_public_safe","linkage gate report"
"metric_definition_dictionary","outputs/tables/metric_definition_dictionary.csv","5","3","aggregate_public_safe","metric definition dictionary"
"Missed_Severe_Episodes","outputs/tables/missed_severe_episodes.csv","45","9","aggregate_public_safe","missed severe episodes"
"MoVeR_Gate","outputs/tables/mover_gate_audit.csv","1","10","aggregate_public_safe","mover gate audit"
"NIBP_Arterial_Strata","outputs/tables/nibp_bland_altman_by_stratum.csv","5","10","aggregate_public_safe","nibp bland altman by stratum"
"NIBP_bland_altman_summary","outputs/tables/nibp_bland_altman_summary.csv","1","7","aggregate_public_safe","nibp bland altman summary"
"NIBP_Case_Flow","outputs/tables/nibp_case_flow_detailed.csv","8","5","aggregate_public_safe","nibp case flow detailed"
"NIBP_collapse_flow","outputs/tables/nibp_collapse_flow.csv","1","7","aggregate_public_safe","nibp collapse flow"
"NIBP_dedup_Sens","outputs/tables/nibp_dedup_sensitivity.csv","16","5","aggregate_public_safe","nibp dedup sensitivity"
"NIBP_dedup_Sens_grid","outputs/tables/nibp_dedup_sensitivity_grid.csv","16","5","aggregate_public_safe","nibp dedup sensitivity grid"
"NIBP_Display_retention_audit","outputs/tables/nibp_display_retention_audit.csv","1","7","aggregate_public_safe","nibp display retention audit"
"NIBP_Display_Valid_Decomp","outputs/tables/nibp_display_validity_decomposition.csv","18","49","aggregate_public_safe","nibp display validity decomposition"
"NIBP_Horizon_Sensitivity","outputs/tables/nibp_display_validity_horizon_sensitivity.csv","18","49","aggregate_public_safe","nibp display validity horizon sensitivity"
"NIBP_Episode_Detect","outputs/tables/nibp_episode_detection.csv","9","8","aggregate_public_safe","nibp episode detection"
"NIBP_event_audit","outputs/tables/nibp_event_audit.csv","1","7","aggregate_public_safe","nibp event audit"
"NIBP_event_Detect","outputs/tables/nibp_event_detection.csv","9","19","aggregate_public_safe","nibp event detection"
"NIBP_event_Detect_metrics","outputs/tables/nibp_event_detection_metrics.csv","3","9","aggregate_public_safe","nibp event detection metrics"
"NIBP_Event_Flow","outputs/tables/nibp_event_flow_detailed.csv","5","4","aggregate_public_safe","nibp event flow detailed"
"NIBP_Flow_Closure","outputs/tables/nibp_flow_closure_checks.csv","4","4","aggregate_public_safe","nibp flow closure checks"
"NIBP_Low_MAP_Coupling","outputs/tables/nibp_low_map_coupling_sensitivity.csv","3","7","aggregate_public_safe","nibp low map coupling sensitivity"
"NIBP_low_map_strata_bias","outputs/tables/nibp_low_map_strata_bias.csv","5","10","aggregate_public_safe","nibp low map strata bias"
"NIBP_Mechanism_CIs","outputs/tables/nibp_mechanism_bootstrap.csv","9","17","aggregate_public_safe","nibp mechanism bootstrap"
"NIBP_Mechanisms","outputs/tables/nibp_mechanism_decomposition.csv","12","18","aggregate_public_safe","nibp mechanism decomposition"
"NIBP_Events_Per_Case","outputs/tables/nibp_pair_events_per_case_distribution.csv","8","2","aggregate_public_safe","nibp pair events per case distribution"
"NIBP_Classification","outputs/tables/nibp_paired_classification_clustered.csv","3","18","aggregate_public_safe","nibp paired classification clustered"
"NIBP_PairedMean_Strata","outputs/tables/nibp_paired_mean_strata_sensitivity.csv","5","10","aggregate_public_safe","nibp paired mean strata sensitivity"
"NIBP_Pair_Failures","outputs/tables/nibp_pairing_failure_reasons.csv","2","3","aggregate_public_safe","nibp pairing failure reasons"
"NIBP_pairing_Sens","outputs/tables/nibp_pairing_sensitivity.csv","4","7","aggregate_public_safe","nibp pairing sensitivity"
"NIBP_pairing_Sens_grid","outputs/tables/nibp_pairing_sensitivity_grid.csv","4","7","aggregate_public_safe","nibp pairing sensitivity grid"
"NIBP_Repeated_BA","outputs/tables/nibp_repeated_measures_bland_altman.csv","5","15","aggregate_public_safe","nibp repeated measures bland altman"
"NIBP_Sample_Method","outputs/tables/nibp_sample_selection_method.csv","1","7","aggregate_public_safe","nibp sample selection method"
"NIBP_Representativeness","outputs/tables/nibp_selected_vs_unselected_comparison.csv","5","6","aggregate_public_safe","nibp selected vs unselected comparison"
"NIBP_Timestamps","outputs/tables/nibp_timestamp_semantics.csv","1","5","aggregate_public_safe","nibp timestamp semantics"
"Offset_Variability","outputs/tables/offset_variability.csv","15","10","aggregate_public_safe","offset variability"
