check,expected,observed,tolerance,status,evidence
"VitalDB source cases","6388","6388","0","PASS","cohort_flow.csv"
"Primary arterial cohort","2435","2435","0","PASS","frequency_decomposition_bootstrap.csv"
"Primary HDR65","0.5974247419434733","0.5974247419434733","1e-12","PASS","primary result"
"Primary ODR65 corrected","0.5729922163020157","0.5729922163020157","1e-12","PASS","primary result"
"Primary net equals ODR-HDR","-0.024432525641457592","-0.02443252564145753","1e-12","PASS","identity"
"NIBP predefined subset","500","500","0","PASS","nibp_case_flow_detailed.csv"
"NIBP mechanism subset","365","365","0","PASS","nibp_case_flow_detailed.csv"
"Paired plus timing-only cases","365","365","0","PASS","flow closure"
"Eligible pairing events","13687","13687","0","PASS","nibp_event_flow_detailed.csv"
"Successfully paired events","10875","10875","0","PASS","nibp_event_flow_detailed.csv"
"Display unavailable, all grid","0.5926977370720452","0.5926977370720452","1e-12","PASS","primary 10-min horizon"
"Mechanism HDR component closure","0.9259505789183501","0.9259505789183501","1e-12","PASS","unavailable plus valid mismatch"
"Paired classification events","10875","10875","0","PASS","nibp_paired_classification_clustered.csv"
"INSPIRE target population","89576","89576","0","PASS","target_population_table.csv"
"No obsolete ODR 0.642","1","1","0","PASS","obsolete-value fail-stop"
"No case/event source sheets included","1","1","0","PASS","04_EXCLUSIONS"
