sheet,included_public_workbook,n_rows,n_columns,reason,headers
cohort_characteristics,True,55,7,public: aggregate/reporting table; no case identifier or time-series key detected,group; variable; n_cases; n_nonmissing; missing_count; statistic; value
cohort_characteristics_publicat,True,11,5,public: aggregate/reporting table; no case identifier or time-series key detected,"variable; primary waveform cohort (n=2435); nibp mechanism subset (n=365); paired agreement cases (n=347); smd, nibp subset vs primary"
cohort_flow,True,7,3,public: aggregate/reporting table; no case identifier or time-series key detected,step; remaining; excluded
config_validation,True,7,2,public: aggregate/reporting table; no case identifier or time-series key detected,check; passed
episode_denominator_audit,True,15,12,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; reference_episodes; detected_episodes; missed_episodes; median_detection_delay_min; episode_sensitivity; duration_table_reference_episodes; duration_table_detected_episodes; frequency_episode_universe; duration_episode_universe; same_denominator
episode_detection_by_duration,True,75,9,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; duration_bin; reference_episodes; detected_episodes; median_delay_min; hidden_auc_contribution; episode_true_auc; episode_sensitivity
episode_detection_by_threshold_,True,15,7,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; reference_episodes; detected_episodes; missed_episodes; median_detection_delay_min; episode_sensitivity
episode_detection_frequency,True,15,7,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; reference_episodes; detected_episodes; missed_episodes; median_detection_delay_min; episode_sensitivity
figure1_source,True,60,3,public: aggregate/reporting table; no case identifier or time-series key detected,minute; arterial_reference_map; displayed_map
figure2_source,True,15,26,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; normotensive_display_min_per_anesthesia_hour; normotensive_display_discordance_min_per_anesthesia_hour; hypotensive_display_discordance_min_per_anesthesia_hour; episode_sensitivity; hdr_ci_low; hdr_ci_high; odr_ci_low; odr_ci_high; netbias_ci_low; netbias_ci_high; normotensive_display_discordance_ci_low; normotensive_display_discordance_ci_high; hypotensive_display_discordance_ci_low; hypotensive_display_discordance_ci_high
figure3_agreement_summary,True,1,5,public: aggregate/reporting table; no case identifier or time-series key detected,paired_events; case_clusters; mean_bias_nibp_minus_art; loa_low; loa_high
figure3_source,False,10875,16,restricted: case-level identifier column(s): case_id,case_id; display_time_sec; nibp_map; window_before_sec; window_after_sec; art_points; expected_art_points; valid_fraction; art_map_ref; nibp_art_bias; paired; mean_map; bias_nibp_minus_art; overall_mean_bias; loa_low; loa_high
figure4_source,True,9,25,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; threshold; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; measurement_burden; sample_count_total; trigger_count_total; selected_continuous_cases; hdr65; odr65; hdr_reduction_vs_5min; relative_hdr_reduction_vs_5min; extra_measurements_per_hour; cost_domain; extra_cuff_inflations_per_hour; modality_burden_note; pareto_optimal; scenario_role
fixed_interval_offset_sensitivi,True,45,16,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; offset_policy; target_offset_sec; offset_count; n_cases; true_auc_total; hidden_auc_total; overdisplay_auc_total; display_auc_total; hdr; odr; netbias; reference_episodes; detected_episodes; episode_sensitivity
frequency_decomp_case_mean_prev,False,5000,22,restricted: case-level identifier column(s): case_id,case_id; threshold; interval_min; true_auc; display_auc; hidden_auc; overdisplay_auc; concordant_auc; normotensive_display_min; normotensive_display_discordance_min; hypotensive_display_discordance_min; true_hypotension_min; episode_count; episode_detected; missed_episodes; mean_detection_delay_min; anesthesia_hours; hdr; odr; hdr_case; odr_case; netbias
frequency_decomp_population,True,15,26,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; normotensive_display_min_per_anesthesia_hour; normotensive_display_discordance_min_per_anesthesia_hour; hypotensive_display_discordance_min_per_anesthesia_hour; episode_sensitivity; hdr_ci_low; hdr_ci_high; odr_ci_low; odr_ci_high; netbias_ci_low; netbias_ci_high; normotensive_display_discordance_ci_low; normotensive_display_discordance_ci_high; hypotensive_display_discordance_ci_low; hypotensive_display_discordance_ci_high
frequency_decomposition,False,36525,16,restricted: case-level identifier column(s): case_id,case_id; threshold; interval_min; true_auc; display_auc; concordant_auc; hidden_auc; overdisplay_auc; hdr_case; odr_case; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; episode_count; episode_detected; missed_episodes
frequency_decomposition_bootstr,True,15,26,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; normotensive_display_min_per_anesthesia_hour; normotensive_display_discordance_min_per_anesthesia_hour; hypotensive_display_discordance_min_per_anesthesia_hour; episode_sensitivity; hdr_ci_low; hdr_ci_high; odr_ci_low; odr_ci_high; netbias_ci_low; netbias_ci_high; normotensive_display_discordance_ci_low; normotensive_display_discordance_ci_high; hypotensive_display_discordance_ci_low; hypotensive_display_discordance_ci_high
frequency_denominator_checks,True,15,8,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; cases_with_true_auc_gt0; true_auc_total; median_true_auc; normotensive_display_discordance_total; hypotensive_display_discordance_total
inspire_guardrail_report,True,1,3,public: aggregate/reporting table; no case identifier or time-series key detected,check; passed; note
inspire_resource_burden,True,9,7,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; measurement_burden; extra_measurements_per_hour; relative_hdr_reduction_vs_5min; target_population_n; scenario_role; estimated_extra_measurements_per_hour_population
inspire_resource_scenarios,True,9,7,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; measurement_burden; extra_measurements_per_hour; relative_hdr_reduction_vs_5min; target_population_n; scenario_role; estimated_extra_measurements_per_hour_population
linkage_gate_report,True,1,10,public: aggregate/reporting table; no case identifier or time-series key detected,gold_links; silver_links; ambiguous_rejects; minimum_gold_required; direct_waveform_claim_allowed; language; gate_level; minute_level_fallback_available; direct_waveform_linkage_completed; claim_boundary
main_table2_clean,True,8,6,public: aggregate/reporting table; no case identifier or time-series key detected,component; display/strategy; n; hdr65 (95% ci); odr65 (95% ci); netbias (95% ci)
metric_definition_dictionary,True,9,3,public: aggregate/reporting table; no case identifier or time-series key detected,metric; definition; role
missed_severe_episodes,True,45,9,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; nadir_bin; duration_bin; reference_episodes; missed_episodes; detected_episodes; episode_true_auc; missed_episode_fraction
mover_gate_audit,True,1,10,public: aggregate/reporting table; no case identifier or time-series key detected,gold_links; silver_links; ambiguous_rejects; minimum_gold_required; direct_waveform_claim_allowed; language; gate_level; minute_level_fallback_available; direct_waveform_linkage_completed; claim_boundary
mover_gate_input_inventory,False,6,4,restricted: path/archive column could expose local source locations,archive; path; exists; size_bytes
nibp_art_pairs,False,13687,11,restricted: case-level identifier column(s): case_id,case_id; display_time_sec; nibp_map; window_before_sec; window_after_sec; art_points; expected_art_points; valid_fraction; art_map_ref; nibp_art_bias; paired
nibp_bland_altman_by_stratum,True,5,10,public: aggregate/reporting table; no case identifier or time-series key detected,art_map_stratum; paired_events; cases; mean_bias; sd_bias; median_abs_error; mean_bias_ci_low; mean_bias_ci_high; loa_low; loa_high
nibp_bland_altman_summary,True,1,7,public: aggregate/reporting table; no case identifier or time-series key detected,paired_events; case_clusters; mean_bias_nibp_minus_art; sd_bias; loa_low; loa_high; median_abs_error
nibp_collapse_flow,True,1,7,public: aggregate/reporting table; no case identifier or time-series key detected,candidate_art_nibp_cases; sampled_cases; raw_records; candidate_records; display_events; candidate_retention_rate; display_retention_rate
nibp_dedup_outcome_sensitivity,True,3,13,public: aggregate/reporting table; no case identifier or time-series key detected,setting; same_value_hold_sec; min_gap_new_event_sec; display_events; paired_events; pairing_rate; low_map_bias_art_lt55; hdr65_actual_nibp; odr65_actual_nibp; netbias65_actual_nibp; episode_sensitivity65; event_sensitivity65; specificity65
nibp_dedup_sensitivity,True,16,5,public: aggregate/reporting table; no case identifier or time-series key detected,same_value_hold_sec; min_gap_new_event_sec; display_events; display_retention_rate; setting
nibp_dedup_sensitivity_grid,True,16,5,public: aggregate/reporting table; no case identifier or time-series key detected,same_value_hold_sec; min_gap_new_event_sec; display_events; display_retention_rate; setting
nibp_display_events,False,15950,3,restricted: case-level identifier column(s): case_id,case_id; display_time_sec; nibp_map
nibp_display_interval_distribut,True,6,2,public: aggregate/reporting table; no case identifier or time-series key detected,statistic; interval_min
nibp_display_retention_audit,True,1,7,public: aggregate/reporting table; no case identifier or time-series key detected,candidate_art_nibp_cases; sampled_cases; raw_records; candidate_records; display_events; candidate_retention_rate; display_retention_rate
nibp_display_validity_horizon_s,True,18,25,public: aggregate/reporting table; no case identifier or time-series key detected,horizon_rule; display_validity_sec; mechanism; threshold; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; missing_timepoints; total_timepoints; hdr; odr; netbias; missing_timepoint_fraction; reference_episodes; detected_episodes; missed_episodes; episode_sensitivity; tp; fn_false_reassurance; fp_overdisplay; tn; event_sensitivity; specificity
nibp_episode_detection,True,9,8,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; mechanism; n_cases; reference_episodes; detected_episodes; missed_episodes; median_delay_min; episode_sensitivity
nibp_event_audit,True,1,7,public: aggregate/reporting table; no case identifier or time-series key detected,candidate_art_nibp_cases; sampled_cases; raw_records; candidate_records; display_events; candidate_retention_rate; display_retention_rate
