threshold,interval_min,reference_episodes,detected_episodes,missed_episodes,median_detection_delay_min,episode_sensitivity,duration_table_reference_episodes,duration_table_detected_episodes,frequency_episode_universe,duration_episode_universe,same_denominator
55.0,1.0,1407.0,1407.0,0.0,0.4166666666666667,1.0,11010,4951,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
55.0,2.5,1407.0,1057.9333333333334,349.06666666666666,0.6666666666666666,0.7519071310116087,11010,2957,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
55.0,3.0,1407.0,961.8333333333334,445.1666666666667,0.6888819513819513,0.683605780620706,11010,2627,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
55.0,5.0,1407.0,704.5666666666667,702.4333333333333,0.6899350649350648,0.5007581141909501,11010,1918,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
55.0,10.0,1407.0,440.01666666666665,966.9833333333332,0.6754629629629629,0.3127339493011135,11010,1192,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
60.0,1.0,3905.0,3905.0,0.0,0.3944444444444444,1.0,18444,9699,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
60.0,2.5,3905.0,3110.4,794.6,0.75,0.79651728553137,18444,6658,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
60.0,3.0,3905.0,2876.9444444444443,1028.0555555555557,0.8125,0.7367335325081804,18444,6009,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
60.0,5.0,3905.0,2206.8333333333335,1698.1666666666667,0.8666666666666667,0.5651301749893299,18444,4652,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
60.0,10.0,3905.0,1459.3166666666666,2445.6833333333334,0.8333333333333333,0.3737046521553563,18444,3214,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
65.0,1.0,9187.0,9187.0,0.0,0.3650793650793651,1.0,32115,19061,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
65.0,2.5,9187.0,7800.466666666666,1386.5333333333333,0.7777777777777778,0.8490765937375276,32115,14683,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
65.0,3.0,9187.0,7372.111111111111,1814.888888888889,0.869047619047619,0.802450322315349,32115,13619,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
65.0,5.0,9187.0,6042.866666666667,3144.133333333333,1.0833333333333333,0.657762780740902,32115,11521,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
65.0,10.0,9187.0,4343.733333333334,4843.266666666666,1.1363425925925923,0.4728130329088205,32115,8831,duration-filtered episodes >=60 s; detected counts averaged across all deterministic offsets,all episodes >=10 s on anchored offset-0 display; stratified by duration bin,False
