threshold,interval_min,duration_bin,reference_episodes,detected_episodes,median_delay_min,hidden_auc_contribution,episode_true_auc,episode_sensitivity
55.0,1.0,1-3min,1113,1113,0.3333333333333333,0.0,14828.833333333334,1.0
55.0,1.0,3-5min,185,185,0.3333333333333333,0.0,4922.25,1.0
55.0,1.0,30-60s,1893,1174,0.16666666666666666,5352.5,14823.25,0.6201796090861067
55.0,1.0,<30s,7710,2370,0.0,15697.833333333334,24033.75,0.30739299610894943
55.0,1.0,>5min,109,109,0.3333333333333333,0.0,7218.75,1.0
55.0,2.5,1-3min,1113,742,0.5,4068.0,14828.833333333334,0.6666666666666666
55.0,2.5,3-5min,185,185,0.8333333333333334,0.0,4922.25,1.0
55.0,2.5,30-60s,1893,644,0.16666666666666666,9737.583333333334,14823.25,0.34020073956682517
55.0,2.5,<30s,7710,1277,0.0,19870.333333333332,24033.75,0.1656290531776913
55.0,2.5,>5min,109,109,1.0,0.0,7218.75,1.0
55.0,3.0,1-3min,1113,674,0.5,4973.75,14828.833333333334,0.605570530098832
55.0,3.0,3-5min,185,185,1.1666666666666667,0.0,4922.25,1.0
55.0,3.0,30-60s,1893,501,0.0,10938.0,14823.25,0.26465927099841524
55.0,3.0,<30s,7710,1158,0.0,20237.5,24033.75,0.15019455252918287
55.0,3.0,>5min,109,109,1.0,0.0,7218.75,1.0
55.0,5.0,1-3min,1113,442,0.3333333333333333,8553.416666666666,14828.833333333334,0.3971248876909254
55.0,5.0,3-5min,185,143,1.1666666666666667,947.4166666666666,4922.25,0.772972972972973
55.0,5.0,30-60s,1893,379,0.0,11982.166666666666,14823.25,0.20021130480718435
55.0,5.0,<30s,7710,845,0.0,21622.333333333332,24033.75,0.10959792477302205
55.0,5.0,>5min,109,109,1.5,0.0,7218.75,1.0
55.0,10.0,1-3min,1113,272,0.16666666666666666,11410.666666666666,14828.833333333334,0.24438454627133874
55.0,10.0,3-5min,185,79,0.6666666666666666,2586.0833333333335,4922.25,0.42702702702702705
55.0,10.0,30-60s,1893,226,0.0,13246.083333333334,14823.25,0.11938721605916534
55.0,10.0,<30s,7710,531,0.0,22679.166666666668,24033.75,0.0688715953307393
55.0,10.0,>5min,109,84,2.583333333333333,981.25,7218.75,0.7706422018348624
60.0,1.0,1-3min,2775,2775,0.3333333333333333,0.0,28546.416666666668,1.0
60.0,1.0,3-5min,690,690,0.3333333333333333,0.0,14914.083333333334,1.0
60.0,1.0,30-60s,3422,2213,0.16666666666666666,7407.25,20970.25,0.646697837521917
60.0,1.0,<30s,11117,3581,0.0,19567.0,30059.583333333332,0.3221192767833049
60.0,1.0,>5min,440,440,0.3333333333333333,0.0,25620.166666666668,1.0
60.0,2.5,1-3min,2775,1964,0.5,6947.25,28546.416666666668,0.7077477477477477
60.0,2.5,3-5min,690,690,0.8333333333333334,0.0,14914.083333333334,1.0
60.0,2.5,30-60s,3422,1271,0.0,13551.75,20970.25,0.37142022209234365
60.0,2.5,<30s,11117,2293,0.0,24479.416666666668,30059.583333333332,0.20626068183862553
60.0,2.5,>5min,440,440,0.8333333333333334,0.0,25620.166666666668,1.0
60.0,3.0,1-3min,2775,1728,0.5,9253.416666666666,28546.416666666668,0.6227027027027027
60.0,3.0,3-5min,690,690,1.1666666666666667,0.0,14914.083333333334,1.0
60.0,3.0,30-60s,3422,1091,0.0,15071.25,20970.25,0.3188194038573933
60.0,3.0,<30s,11117,2060,0.0,24983.416666666668,30059.583333333332,0.1853017900512728
60.0,3.0,>5min,440,440,0.8333333333333334,0.0,25620.166666666668,1.0
60.0,5.0,1-3min,2775,1196,0.3333333333333333,15578.166666666666,28546.416666666668,0.430990990990991
60.0,5.0,3-5min,690,543,1.1666666666666667,2752.75,14914.083333333334,0.7869565217391304
60.0,5.0,30-60s,3422,814,0.0,16749.416666666668,20970.25,0.23787258912916423
60.0,5.0,<30s,11117,1659,0.0,26615.75,30059.583333333332,0.14923090761896196
60.0,5.0,>5min,440,440,1.6666666666666667,0.0,25620.166666666668,1.0
60.0,10.0,1-3min,2775,791,0.0,20583.0,28546.416666666668,0.285045045045045
60.0,10.0,3-5min,690,323,0.5,7568.5,14914.083333333334,0.4681159420289855
60.0,10.0,30-60s,3422,567,0.0,18344.25,20970.25,0.16569257744009352
60.0,10.0,<30s,11117,1186,0.0,27978.75,30059.583333333332,0.10668345776738329
60.0,10.0,>5min,440,347,1.8333333333333333,3498.8333333333335,25620.166666666668,0.7886363636363637
65.0,1.0,1-3min,5438,5438,0.3333333333333333,0.0,51869.666666666664,1.0
65.0,1.0,3-5min,1931,1931,0.3333333333333333,0.0,40869.25,1.0
65.0,1.0,30-60s,5920,3944,0.0,9387.75,27575.916666666668,0.6662162162162162
65.0,1.0,<30s,17008,5930,0.0,23488.916666666668,36094.0,0.34865945437441204
65.0,1.0,>5min,1818,1818,0.3333333333333333,0.0,105813.0,1.0
65.0,2.5,1-3min,5438,4069,0.3333333333333333,10704.25,51869.666666666664,0.7482530342037513
65.0,2.5,3-5min,1931,1931,0.8333333333333334,0.0,40869.25,1.0
65.0,2.5,30-60s,5920,2468,0.0,16980.75,27575.916666666668,0.4168918918918919
65.0,2.5,<30s,17008,4397,0.0,28833.416666666668,36094.0,0.25852539981185324
65.0,2.5,>5min,1818,1818,0.8333333333333334,0.0,105813.0,1.0
65.0,3.0,1-3min,5438,3564,0.3333333333333333,15508.166666666666,51869.666666666664,0.6553880102979036
65.0,3.0,3-5min,1931,1931,1.0,0.0,40869.25,1.0
65.0,3.0,30-60s,5920,2196,0.0,18827.0,27575.916666666668,0.37094594594594593
65.0,3.0,<30s,17008,4110,0.0,29270.666666666668,36094.0,0.24165098777046096
65.0,3.0,>5min,1818,1818,0.8333333333333334,0.0,105813.0,1.0
65.0,5.0,1-3min,5438,2672,0.0,25845.083333333332,51869.666666666664,0.4913571165869805
65.0,5.0,3-5min,1931,1545,1.1666666666666667,7579.083333333333,40869.25,0.8001035732780942
65.0,5.0,30-60s,5920,1816,0.0,20889.833333333332,27575.916666666668,0.30675675675675673
65.0,5.0,<30s,17008,3670,0.0,31157.833333333332,36094.0,0.2157808090310442
65.0,5.0,>5min,1818,1818,1.5,0.0,105813.0,1.0
65.0,10.0,1-3min,5438,1884,0.0,34244.666666666664,51869.666666666664,0.3464509010665686
65.0,10.0,3-5min,1931,999,0.3333333333333333,19574.333333333332,40869.25,0.5173485240807871
65.0,10.0,30-60s,5920,1416,0.0,22858.833333333332,27575.916666666668,0.2391891891891892
65.0,10.0,<30s,17008,3064,0.0,32660.166666666668,36094.0,0.1801505174035748
65.0,10.0,>5min,1818,1468,1.8333333333333333,12902.416666666666,105813.0,0.8074807480748075
