threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high,panel,duration_bin
55.0,1.0,2435,2380,subjectid,1000,748,1407.0,1407.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3578535891968728,0.3515218152141972,0.3646884237227886,,,,,,,sampling_interval,
55.0,2.5,2435,2380,subjectid,1000,748,1407.0,1057.9333333333334,349.06666666666666,0.7519071310116087,0.7381895948016451,0.7658806125936052,0.2480928689883913,0.2341193874063948,0.2618104051983549,,,,,,,,,,0.7210704308189972,0.6978809755091697,0.7439991842718487,,,,,,,sampling_interval,
55.0,3.0,2435,2380,subjectid,1000,748,1407.0,961.8333333333334,445.16666666666663,0.683605780620706,0.6679509741648768,0.6988042197918625,0.3163942193792939,0.3011957802081375,0.3320490258351232,,,,,,,,,,0.7916113132713375,0.7631471332814782,0.8204165825716729,,,,,,,sampling_interval,
55.0,5.0,2435,2380,subjectid,1000,748,1407.0,704.5666666666666,702.4333333333333,0.50075811419095,0.4829241459504617,0.5201401123622691,0.4992418858090499,0.4798598876377308,0.5170758540495383,,,,,,,,,,0.9595259497563514,0.9098910802058396,1.0076512875758767,,,,,,,sampling_interval,
55.0,10.0,2435,2380,subjectid,1000,748,1407.0,440.01666666666665,966.9833333333332,0.3127339493011135,0.2934594033353199,0.3308565671775395,0.6872660506988865,0.6691434328224605,0.7065405966646802,,,,,,,,,,1.079384619269472,0.991631601476918,1.1679222429552218,,,,,,,sampling_interval,
60.0,1.0,2435,2380,subjectid,1000,1347,3905.0,3905.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3560748328353962,0.3522376983508373,0.359765177269203,,,,,,,sampling_interval,
60.0,2.5,2435,2380,subjectid,1000,1347,3905.0,3110.4,794.6,0.79651728553137,0.7882519535583454,0.8047851472262297,0.2034827144686299,0.1952148527737703,0.2117480464416544,,,,,,,,,,0.7407050182898948,0.724337266092109,0.755791509164645,,,,,,,sampling_interval,
60.0,3.0,2435,2380,subjectid,1000,1347,3905.0,2876.9444444444443,1028.0555555555557,0.7367335325081804,0.7274507463417169,0.7461912662559206,0.2632664674918196,0.2538087337440794,0.272549253658283,,,,,,,,,,0.8232177915097679,0.8044679836649877,0.8418234711911838,,,,,,,sampling_interval,
60.0,5.0,2435,2380,subjectid,1000,1347,3905.0,2206.833333333333,1698.1666666666667,0.5651301749893298,0.5540095251838676,0.5764823067106596,0.4348698250106701,0.4235176932893406,0.4459904748161324,,,,,,,,,,1.0210130151297736,0.9856962579882796,1.0557768249084585,,,,,,,sampling_interval,
60.0,10.0,2435,2380,subjectid,1000,1347,3905.0,1459.3166666666666,2445.6833333333334,0.3737046521553563,0.3599185968887362,0.3862165805261043,0.6262953478446436,0.6137834194738957,0.6400814031112638,,,,,,,,,,1.1432253299679835,1.075262214743112,1.2050873381892595,,,,,,,sampling_interval,
