threshold,interval_min,offset_policy,target_offset_sec,offset_count,n_cases,true_auc_total,hidden_auc_total,overdisplay_auc_total,display_auc_total,HDR,ODR,NetBias,reference_episodes,detected_episodes,episode_sensitivity
55.0,1.0,anchored_at_start_offset_0,0.0,1,2435,65826.83333333333,32142.916666666664,63582.166666666664,97266.08333333333,0.48829504685272723,0.9659004306754339,0.47760538382270656,1407.0,1407.0,1.0
55.0,1.0,midpoint_offset_nearest_grid,30.0,1,2435,65826.83333333333,32412.666666666664,65863.33333333333,99277.5,0.4923929198072721,1.0005544851263795,0.5081615653191076,1407.0,1407.0,1.0
55.0,1.0,all_deterministic_offsets_averaged,,6,2435,65826.83333333333,32430.347222222223,63416.48611111111,96812.97222222222,0.49266151172731826,0.9633835155032185,0.4707220037759003,1407.0,1407.0,1.0
55.0,2.5,anchored_at_start_offset_0,0.0,1,2435,65826.83333333333,44558.416666666664,62241.33333333333,83509.75,0.67690354237507,0.945531330941536,0.26862778856646613,1407.0,1036.0,0.736318407960199
55.0,2.5,midpoint_offset_nearest_grid,70.0,1,2435,65826.83333333333,44698.916666666664,60636.58333333333,81764.5,0.6790379303272982,0.9211529745974919,0.24211504427019387,1407.0,1066.0,0.757640369580668
55.0,2.5,all_deterministic_offsets_averaged,,15,2435,65826.83333333333,44952.83888888889,59628.13333333333,80502.12777777779,0.6828953576007083,0.9058332341674241,0.2229378765667161,1407.0,1057.9333333333334,0.7519071310116087
55.0,3.0,anchored_at_start_offset_0,0.0,1,2435,65826.83333333333,46430.416666666664,62778.91666666666,82175.33333333333,0.7053417932403453,0.9536979600517519,0.2483561668114067,1407.0,968.0,0.6879886282871357
55.0,3.0,midpoint_offset_nearest_grid,90.0,1,2435,65826.83333333333,47049.5,58172.83333333333,76950.16666666666,0.7147465192765868,0.8837252285668712,0.1689787092902843,1407.0,969.0,0.6886993603411514
55.0,3.0,all_deterministic_offsets_averaged,,18,2435,65826.83333333333,47019.31018518518,59267.50462962962,78075.02777777778,0.7142878945291082,0.9003547888975817,0.18606689436847365,1407.0,961.8333333333334,0.683605780620706
55.0,5.0,anchored_at_start_offset_0,0.0,1,2435,65826.83333333333,51703.58333333333,61766.416666666664,75889.66666666666,0.78544843668109,0.938316694559716,0.15286825787862593,1407.0,694.0,0.49324804548685147
55.0,5.0,midpoint_offset_nearest_grid,150.0,1,2435,65826.83333333333,52116.5,62046.33333333333,75756.66666666666,0.7917212079167311,0.9425690131430698,0.15084780522633873,1407.0,703.0,0.4996446339729922
55.0,5.0,all_deterministic_offsets_averaged,,30,2435,65826.83333333333,52196.225000000006,59090.09722222222,72720.70555555556,0.792932340155104,0.8976597267409525,0.10472738658584865,1407.0,704.5666666666666,0.50075811419095
55.0,10.0,anchored_at_start_offset_0,0.0,1,2435,65826.83333333333,56698.41666666666,63052.749999999985,72181.16666666667,0.8613268145462463,0.9578578644473756,0.09653104990112964,1407.0,435.0,0.3091684434968017
55.0,10.0,midpoint_offset_nearest_grid,300.0,1,2435,65826.83333333333,56942.83333333333,62026.33333333333,70910.33333333333,0.865039839376546,0.9422651856765605,0.07722534630001444,1407.0,452.0,0.3212508884150675
55.0,10.0,all_deterministic_offsets_averaged,,60,2435,65826.83333333333,57233.96111111111,59361.399999999994,67954.27222222224,0.8694624701341821,0.9017811885224111,0.03231871838822934,1407.0,440.01666666666665,0.3127339493011135
60.0,1.0,anchored_at_start_offset_0,0.0,1,2435,120110.5,48780.666666666664,87394.66666666666,158724.5,0.40613157606259787,0.7276188731765054,0.3214872971139076,3905.0,3905.0,1.0
60.0,1.0,midpoint_offset_nearest_grid,30.0,1,2435,120110.5,49061.91666666666,89664.75,160713.3333333333,0.4084731698449899,0.7465188305768439,0.3380456607318537,3905.0,3905.0,1.0
60.0,1.0,all_deterministic_offsets_averaged,,6,2435,120110.5,49180.19444444444,87012.5,157942.80555555556,0.409457911210464,0.7244370808547129,0.31497916964424894,3905.0,3905.0,1.0
60.0,2.5,anchored_at_start_offset_0,0.0,1,2435,120110.5,71099.41666666666,93088.33333333331,142099.41666666666,0.5919500515497534,0.7750224446100326,0.18307239306027914,3905.0,3094.0,0.7923175416133162
60.0,2.5,midpoint_offset_nearest_grid,70.0,1,2435,120110.5,71171.66666666666,90639.83333333333,139578.66666666666,0.5925515809747413,0.7546370494947013,0.16208546851996,3905.0,3137.0,0.8033290653008963
60.0,2.5,all_deterministic_offsets_averaged,,15,2435,120110.5,71530.43333333332,89730.09444444443,138310.1611111111,0.5955385526938387,0.7470628666473326,0.15152431395349375,3905.0,3110.4,0.79651728553137
60.0,3.0,anchored_at_start_offset_0,0.0,1,2435,120110.5,74933.58333333333,95040.91666666666,140217.8333333333,0.6238720456024521,0.7912790028071373,0.16740695720468496,3905.0,2858.0,0.7318822023047376
60.0,3.0,midpoint_offset_nearest_grid,90.0,1,2435,120110.5,75651.41666666666,89456.83333333331,133915.91666666666,0.6298484867406817,0.7447877856917864,0.11493929895110466,3905.0,2896.0,0.7416133162612036
60.0,3.0,all_deterministic_offsets_averaged,,18,2435,120110.5,75612.58796296296,90879.06944444444,135376.98148148146,0.6295252118920741,0.7566288496379954,0.12710363774592112,3905.0,2876.9444444444443,0.7367335325081804
60.0,5.0,anchored_at_start_offset_0,0.0,1,2435,120110.5,85546.24999999999,97994.25,132558.5,0.7122295719358422,0.8158674720361667,0.10363790010032428,3905.0,2179.0,0.5580025608194622
60.0,5.0,midpoint_offset_nearest_grid,150.0,1,2435,120110.5,86083.58333333333,99125.25,133152.16666666666,0.7167032302199502,0.825283801166426,0.1085805709464756,3905.0,2204.0,0.564404609475032
60.0,5.0,all_deterministic_offsets_averaged,,30,2435,120110.5,86197.83055555556,94998.2361111111,128910.90555555557,0.7176544145229231,0.7909236587235179,0.07326924420059502,3905.0,2206.833333333333,0.5651301749893298
60.0,10.0,anchored_at_start_offset_0,0.0,1,2435,120110.5,96383.66666666667,104821.66666666666,128548.50000000001,0.8024582918784509,0.8727102681836031,0.07025197630515247,3905.0,1461.0,0.3741357234314981
60.0,10.0,midpoint_offset_nearest_grid,300.0,1,2435,120110.5,96926.08333333334,102791.91666666666,125976.33333333333,0.8069742723020331,0.8558112460331666,0.04883697373113365,3905.0,1413.0,0.3618437900128041
60.0,10.0,all_deterministic_offsets_averaged,,60,2435,120110.5,97292.96805555554,100280.18194444443,123097.71388888889,0.8100288322466024,0.8348993796915709,0.02487054744496849,3905.0,1459.3166666666666,0.37370465215535636
65.0,1.0,anchored_at_start_offset_0,0.0,1,2435,262221.8333333333,79110.08333333331,126171.91666666666,309283.6666666666,0.3016914431864623,0.48116480257491906,0.17947335938845665,9187.0,9187.0,1.0
65.0,1.0,midpoint_offset_nearest_grid,30.0,1,2435,262221.8333333333,79243.08333333333,128964.91666666666,311943.6666666666,0.3021986473285024,0.49181608955775996,0.18961744222925747,9187.0,9187.0,1.0
65.0,1.0,all_deterministic_offsets_averaged,,6,2435,262221.8333333333,79485.68055555556,125745.75,308481.90277777775,0.30312380759886726,0.4795395883002369,0.17641578070136968,9187.0,9187.0,1.0
65.0,2.5,anchored_at_start_offset_0,0.0,1,2435,262221.8333333333,122288.33333333333,150519.16666666666,290452.6666666666,0.4663545051867662,0.574014622479313,0.10766011729254676,9187.0,7818.0,0.8509850876238163
65.0,2.5,midpoint_offset_nearest_grid,70.0,1,2435,262221.8333333333,122725.58333333334,146773.5833333333,286269.8333333333,0.4680219864732851,0.5597305970580888,0.09170861058480384,9187.0,7795.0,0.8484815500163274
65.0,2.5,all_deterministic_offsets_averaged,,15,2435,262221.8333333333,122980.5611111111,146042.20555555553,285283.47777777776,0.4689943607967215,0.5569414403792547,0.08794707958253331,9187.0,7800.466666666667,0.8490765937375278
65.0,3.0,anchored_at_start_offset_0,0.0,1,2435,262221.8333333333,131129.66666666666,155681.49999999997,286773.6666666667,0.5000715043433327,0.5937015160827568,0.09363001173942434,9187.0,7313.0,0.7960161097202569
65.0,3.0,midpoint_offset_nearest_grid,90.0,1,2435,262221.8333333333,132264.4166666667,149652.33333333334,279609.75,0.5043989472018285,0.5707088972377714,0.06630995003594294,9187.0,7407.0,0.8062479590726026
65.0,3.0,all_deterministic_offsets_averaged,,18,2435,262221.8333333333,131955.54166666666,151518.30555555553,281784.59722222225,0.5032210323193276,0.5778249035538824,0.07460387123455497,9187.0,7372.111111111111,0.802450322315349
65.0,5.0,anchored_at_start_offset_0,0.0,1,2435,262221.8333333333,155802.75,171709.41666666666,278128.5,0.5941639108363085,0.6548250177489671,0.060661106912658636,9187.0,6035.0,0.6569064983128333
