threshold,interval_min,n_cases,n_clusters,bootstrap_cluster,bootstrap_reps,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR_display_valid,ODR_display_valid,HDR_unavailable_component,HDR_valid_mismatch_component,normotensive_display_discordance_min,hypotensive_display_discordance_min,reference_hypotension_with_display_unavailable_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,reference_hypotension_with_display_unavailable_min_per_anesthesia_hour,display_unavailable_fraction,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high,reference_hypotension_with_display_unavailable_ci_low,reference_hypotension_with_display_unavailable_ci_high
55.0,1.0,2435,2435,case_id,1000,65826.83333333333,62557.09722222222,32430.347222222223,29160.61111111111,0.49266151172731826,0.4429897297876668,-0.04967178193965146,11824.055555555555,20606.291666666664,54002.777777777774,0.3815783653104264,0.5399835399413611,0.17962364216551338,0.31303786956180485,1862.4444444444443,2221.5,484.3611111111111,0.19287655848476487,0.19287655848476487,0.23006070111353938,0.050160907861514815,0.002082013447774392,1.0,0.4714791023636607,0.5124952626887099,0.42430447904003893,0.4608007446041773,-0.054006266009979424,-0.045473062870564594,0.3614359881463167,0.40115806424708744,0.5126541380135421,0.5662048192461931,0.1688909137437233,0.19105281495988216,0.2987291944597491,0.3281459902329952,0.1829982548472237,0.20417275446625105,0.21981061465225946,0.2414910024727346,0.048186672421311534,0.05182469244376501
55.0,2.5,2435,2435,case_id,1000,65826.83333333333,61718.88888888889,44952.83888888889,40844.894444444435,0.6828953576007083,0.6204900399448721,-0.062405317655836186,18946.19444444444,26006.644444444442,46880.63888888889,0.5547416814451357,0.8712529396463712,0.2878187129024553,0.39507664469825293,2709.844444444444,3364.4666666666662,813.0111111111111,0.2806341268501095,0.2806341268501095,0.34842744101123835,0.08419622157790677,0.005628978512184807,0.7519071310116087,0.6605843122830867,0.7065501714529309,0.5996630920813111,0.6425584713171666,-0.06805741457808218,-0.057008013084292805,0.5283944881324779,0.5822212043753263,0.8317208240621825,0.9155500120246617,0.2724238209440662,0.3034064117875006,0.3772834149688269,0.4135564452533829,0.26458880942530566,0.2984988715982642,0.33167431150583515,0.36708670957988226,0.0804562286636389,0.08771292822349595
55.0,3.0,2435,2435,case_id,1000,65826.83333333333,61580.22222222222,47019.31018518518,42772.69907407407,0.7142878945291082,0.6497760397721407,-0.06451185475696755,20280.88888888889,26738.421296296296,45545.94444444444,0.5870648116411552,0.9391110360275198,0.3080945544834385,0.4061933400456698,2862.675925925926,3580.2129629629626,882.4814814814814,0.29646150374943464,0.29646150374943464,0.3707703373374033,0.09139064071543755,0.006819282582848449,0.683605780620706,0.6923408529068398,0.7378339852520752,0.6292990984523116,0.6705605999980275,-0.07054236847316382,-0.05840013766932572,0.5588393116327763,0.6144616088420242,0.894114598771487,0.9845826558823593,0.29074885538463097,0.32456442644754524,0.38701996368955144,0.4233434381387756,0.27920304617659075,0.316656382750754,0.3530485242347193,0.3913447575217556,0.0873644405326673,0.09559154784717845
55.0,5.0,2435,2435,case_id,1000,65826.83333333333,61570.11111111111,52196.225000000006,47939.50277777777,0.792932340155104,0.7282668837345122,-0.06466545642059192,24012.73611111111,28183.48888888889,41814.09722222222,0.6740188300397095,1.1464913979369664,0.3647864388298254,0.4281459013252786,3224.8166666666666,4146.277777777777,1092.4833333333333,0.33396515115730824,0.33396515115730824,0.42939256023724665,0.1131386367866411,0.011500936016123715,0.50075811419095,0.7695404000170016,0.8144567400066592,0.7073432802300034,0.7487604840551345,-0.07120932064860344,-0.058083660054648246,0.6427087780220357,0.7055468528468103,1.0933398341890923,1.2016362552439768,0.3462928216475608,0.3835764943217051,0.4085972169409604,0.4479485566208701,0.312911308516812,0.3575721625891437,0.4071012254293732,0.4544594130023504,0.10708393566297784,0.11917660777461135
55.0,10.0,2435,2435,case_id,1000,65826.83333333333,61455.54861111111,57233.96111111111,52862.67638888888,0.8694624701341821,0.8030566520069914,-0.06640581812719068,28758.1125,28475.848611111112,37068.72083333333,0.7681907541170062,1.4260723111155522,0.43687522312329574,0.43258724701088636,3497.1083333333336,4734.655555555555,1431.9555555555555,0.3621639410473409,0.3621639410473409,0.49032553528796996,0.14829471036441091,0.023109785562375373,0.3127339493011135,0.8500985241781509,0.8879842566598789,0.7859520802571769,0.8203975616622131,-0.0741253777790791,-0.05825296651996615,0.736337321012223,0.7986437474630966,1.3597447819977493,1.4939408987659175,0.4156001329045848,0.45688497801974837,0.4122323226831898,0.4543022219780275,0.3392290231691055,0.3904941282631228,0.46475695860166344,0.5201850655534298,0.14064130010684167,0.15597931869982445
60.0,1.0,2435,2435,case_id,1000,120110.5,116199.31944444444,49180.19444444444,45269.01388888888,0.409457911210464,0.3768947251813029,-0.032563186029161105,14389.472222222223,34790.72222222222,105721.02777777778,0.3290804389014379,0.42819309309064707,0.1198019508887418,0.28965596032172225,3652.8055555555557,4055.0277777777774,533.1944444444445,0.3782880968456191,0.3782880968456191,0.4199426214676718,0.055218135367424266,0.002082013447774392,1.0,0.39414259495893,0.4241140257586469,0.36272987937586504,0.3903046278419055,-0.03551247732011947,-0.029830941695937155,0.31580134396609216,0.34225531815227134,0.40930558979108034,0.4465555758112812,0.11235243574492991,0.127922715027441,0.278962538200181,0.3000269363128282,0.3612048788494393,0.39586602008008615,0.4027275835184089,0.43790469276868355,0.05324464839954287,0.05729750022937018
60.0,2.5,2435,2435,case_id,1000,120110.5,115174.68333333333,71530.43333333332,66594.61666666667,0.5955385526938387,0.5544445878309279,-0.04109396486291083,23391.355555555554,48139.07777777777,96719.14444444444,0.4977202605987577,0.6885360395729997,0.19474863193105976,0.40078992076277903,5914.955555555555,6683.122222222221,942.5222222222221,0.6125585515041799,0.6125585515041799,0.6921106387899705,0.09760851823521746,0.005628978512184807,0.79651728553137,0.576793384046086,0.6135525132128329,0.5375475144815607,0.5716367443905613,-0.04484381752470277,-0.03736871152888483,0.4794484214471127,0.5157311146982718,0.661051233369722,0.7175218223034545,0.18384227395510766,0.2067220145534165,0.3874961871028377,0.4146187640820618,0.5836614410859211,0.640837768591099,0.6630074453910453,0.7213268608580442,0.09359703958143314,0.10169665175526518
60.0,3.0,2435,2435,case_id,1000,120110.5,114987.86574074073,75612.58796296296,70489.95370370371,0.6295252118920741,0.586875866004252,-0.04264934588782209,25145.53240740741,50467.055555555555,94964.96759259258,0.531428134341743,0.7422732349692502,0.2093533238759926,0.42017188801608146,6393.185185185184,7242.62037037037,1037.0462962962963,0.6620844771786615,0.6620844771786615,0.7500528113016474,0.10739752330097917,0.006819282582848449,0.7367335325081804,0.6093656134949519,0.6495441067044957,0.5689698514433119,0.6041516228294669,-0.04696513057492247,-0.03848830251528375,0.5106251309570797,0.5515248031481559,0.7113412534271778,0.7746274380771165,0.19603809119475624,0.22338487561475387,0.405673976178635,0.4338179025807831,0.629298748079465,0.6937555456920264,0.7157424877688344,0.7825570445238695,0.10313865545594794,0.11214168272941755
60.0,5.0,2435,2435,case_id,1000,120110.5,114906.34444444445,86197.83055555556,80993.67499999999,0.7176544145229231,0.6743263494865144,-0.04332806503640871,30198.48055555555,55999.35,89912.01944444444,0.6228238487580776,0.9008103199155149,0.2514224864233814,0.46623192809954167,7655.35,8793.65,1344.072222222222,0.7927954932565986,0.7927954932565986,0.9106789486144836,0.13919342686998754,0.011500936016123715,0.5651301749893298,0.6980778343703273,0.7366598494722939,0.6556554986309866,0.691641222289253,-0.048061663583731346,-0.03899602488469969,0.5995965537915298,0.6443175276471547,0.8659514986983701,0.9389086731536171,0.2370363083070444,0.26749899701532126,0.45064988447497223,0.4813819963975691,0.7553079699646353,0.832841511227764,0.871726205315549,0.9534257210630317,0.13222667525612555,0.14596819924027604
60.0,10.0,2435,2435,case_id,1000,120110.5,114611.22916666667,97292.96805555554,91793.69722222222,0.8100288322466024,0.7642437357451866,-0.04578509650141589,37329.680555555555,59963.2875,82780.81944444444,0.7243620913929505,1.108876402024825,0.31079448137802734,0.49923435086857515,8873.875,10553.102777777778,1938.9444444444443,0.9189871276587482,0.9189871276587482,1.0928895899071778,0.20079897290528514,0.023109785562375373,0.37370465215535636,0.7918384779758384,0.8273011504708231,0.7477519825331479,0.7809849583687737,-0.05121766574724422,-0.040423343134927466,0.7010784003916576,0.7465235367770797,1.0640013747029426,1.152296118063613,0.2931355437322042,0.32721429703029287,0.48283604368053634,0.5151427955544394,0.872090475736654,0.968844335599227,1.0445628504172249,1.145087570312134,0.19133064470464187,0.2108833635629456
65.0,1.0,2435,2435,case_id,1000,262221.8333333333,257644.55555555556,79485.68055555556,74908.40277777778,0.30312380759886726,0.28566806137212497,-0.0174557462267423,17230.333333333332,62255.34722222222,244991.5,0.2541122741900116,0.3057591907383635,0.06570899575486659,0.23741481184400062,6884.527777777777,7344.25,592.3611111111111,0.7129683940541043,0.7129683940541043,0.7605776746131494,0.06134549292577871,0.002082013447774392,1.0,0.2934572764505532,0.3126727433983662,0.27679970243035884,0.2944781994888226,-0.018890430734465575,-0.01595976922681651,0.24582871727634206,0.2626507115772905,0.29514121862480897,0.3161133470172947,0.06149487830097659,0.0696445416583132,0.230025280021332,0.2447471511019267,0.6866740576220794,0.7392523695852383,0.7343159223464165,0.7869829729944707,0.05936403423412285,0.06313933737368313
65.0,2.5,2435,2435,case_id,1000,262221.8333333333,256349.77777777775,122980.5611111111,117108.50555555554,0.4689943607967215,0.4466008953826838,-0.022393465414037715,28600.705555555556,94379.85555555555,233621.1277777778,0.40398681597552427,0.5012753198715403,0.1090706490454541,0.3599237117512674,11777.22222222222,12691.455555555554,1113.711111111111,1.2196605904183662,1.2196605904183662,1.3143394838003308,0.11533700610405632,0.005628978512184807,0.8490765937375278,0.45553266494261624,0.48154537127031305,0.43415323568911934,0.4580538461397872,-0.02440967832808496,-0.02040181390759933,0.3920170938324669,0.4152736196350363,0.48512404676298476,0.5164589868463295,0.1027970734112321,0.11552202225555454,0.35012838252833456,0.3690146022533785,1.1745056316609854,1.2669232514653357,1.2699369505308011,1.3624592986734865,0.11120123558406496,0.1197760846059699
