threshold,interval_min,nadir_bin,duration_bin,reference_episodes,missed_episodes,detected_episodes,episode_true_auc,missed_episode_fraction
65.0,1.0,55-60,1-3min,1540,0,1540,12689.25,0.0
65.0,1.0,55-60,3-5min,720,0,720,12138.75,0.0
65.0,1.0,55-60,30-60s,652,185,467,2004.5,0.2837423312883436
65.0,1.0,55-60,<30s,1027,699,328,1518.8333333333333,0.6806231742940604
65.0,1.0,55-60,>5min,729,0,729,27189.0,0.0
65.0,1.0,60-65,1-3min,2597,0,2597,9047.5,0.0
65.0,1.0,60-65,3-5min,527,0,527,4786.75,0.0
65.0,1.0,60-65,30-60s,3731,1217,2514,4149.5,0.3261860091128384
65.0,1.0,60-65,<30s,10951,6945,4006,3852.0,0.6341886585699936
65.0,1.0,60-65,>5min,214,0,214,4024.25,0.0
65.0,1.0,<55,1-3min,1301,0,1301,30132.916666666668,0.0
65.0,1.0,<55,3-5min,684,0,684,23943.75,0.0
65.0,1.0,<55,30-60s,1537,574,963,21421.916666666668,0.3734547820429408
65.0,1.0,<55,<30s,5030,3434,1596,30723.166666666668,0.6827037773359841
65.0,1.0,<55,>5min,875,0,875,74599.75,0.0
65.0,5.0,55-60,1-3min,1540,763,777,12689.25,0.4954545454545455
65.0,5.0,55-60,3-5min,720,156,564,12138.75,0.21666666666666667
65.0,5.0,55-60,30-60s,652,417,235,2004.5,0.6395705521472392
65.0,5.0,55-60,<30s,1027,810,217,1518.8333333333333,0.7887049659201558
65.0,5.0,55-60,>5min,729,0,729,27189.0,0.0
65.0,5.0,60-65,1-3min,2597,1322,1275,9047.5,0.5090489025798999
65.0,5.0,60-65,3-5min,527,100,427,4786.75,0.18975332068311196
65.0,5.0,60-65,30-60s,3731,2478,1253,4149.5,0.6641651031894934
65.0,5.0,60-65,<30s,10951,8091,2860,3852.0,0.7388366359236599
65.0,5.0,60-65,>5min,214,0,214,4024.25,0.0
65.0,5.0,<55,1-3min,1301,681,620,30132.916666666668,0.5234435049961568
65.0,5.0,<55,3-5min,684,130,554,23943.75,0.19005847953216373
65.0,5.0,<55,30-60s,1537,1209,328,21421.916666666668,0.7865972674040338
65.0,5.0,<55,<30s,5030,4437,593,30723.166666666668,0.8821073558648111
65.0,5.0,<55,>5min,875,0,875,74599.75,0.0
65.0,10.0,55-60,1-3min,1540,983,557,12689.25,0.6383116883116883
65.0,10.0,55-60,3-5min,720,335,385,12138.75,0.4652777777777778
65.0,10.0,55-60,30-60s,652,471,181,2004.5,0.7223926380368099
65.0,10.0,55-60,<30s,1027,867,160,1518.8333333333333,0.8442064264849075
65.0,10.0,55-60,>5min,729,155,574,27189.0,0.21262002743484226
65.0,10.0,60-65,1-3min,2597,1694,903,9047.5,0.6522911051212938
65.0,10.0,60-65,3-5min,527,263,264,4786.75,0.4990512333965844
65.0,10.0,60-65,30-60s,3731,2714,1017,4149.5,0.7274189225408738
65.0,10.0,60-65,<30s,10951,8455,2496,3852.0,0.772075609533376
65.0,10.0,60-65,>5min,214,56,158,4024.25,0.2616822429906542
65.0,10.0,<55,1-3min,1301,877,424,30132.916666666668,0.6740968485780169
65.0,10.0,<55,3-5min,684,334,350,23943.75,0.48830409356725146
65.0,10.0,<55,30-60s,1537,1319,218,21421.916666666668,0.8581652569941445
65.0,10.0,<55,<30s,5030,4622,408,30723.166666666668,0.9188866799204771
65.0,10.0,<55,>5min,875,139,736,74599.75,0.15885714285714286
