same_value_hold_sec,min_gap_new_event_sec,display_events,display_retention_rate,setting
60,60,29126,0.03669782567335836,strict
60,120,15950,0.020096488343406778,grid
60,180,10886,0.013716010790365277,grid
60,300,7813,0.009844129368466278,grid
90,60,19478,0.024541655169459387,grid
90,120,15950,0.020096488343406778,primary
90,180,10886,0.013716010790365277,grid
90,300,7813,0.009844129368466278,grid
120,60,15950,0.020096488343406778,grid
120,120,15950,0.020096488343406778,grid
120,180,10886,0.013716010790365277,grid
120,300,7813,0.009844129368466278,grid
180,60,10886,0.013716010790365277,grid
180,120,10886,0.013716010790365277,grid
180,180,10886,0.013716010790365277,grid
180,300,7813,0.009844129368466278,lenient
