horizon_rule,display_validity_sec,mechanism,threshold,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR,ODR,NetBias,HDR_unavailable_component,HDR_valid_mismatch_component,HDR_display_valid,ODR_display_valid,display_unavailable_fraction,display_unavailable_fraction_all_grid,tp,fn_full,fn_display_valid,fp,tn_display_valid,sensitivity_full_trajectory,sensitivity_display_valid,specificity_display_valid,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,sensitivity_full_trajectory_ci_low,sensitivity_full_trajectory_ci_high,sensitivity_display_valid_ci_low,sensitivity_display_valid_ci_high,specificity_display_valid_ci_low,specificity_display_valid_ci_high
no_maximum_horizon,,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,6486.166666666666,10231.583333333332,6271.083333333333,112.08333333333333,10119.5,10334.583333333332,0.979411295469049,0.6002951499680919,-0.3791161455009573,0.010729100191448628,0.9686821952776006,0.9791880014514375,0.6068056283514092,0.0011514320156295467,0.009697990477297367,222,5949,5913,6497,467954,0.03597472046669908,0.036185819070904644,0.9863062782036501,0.9589334350764208,0.9934030590405474,0.2627198271963828,1.0367782950565374,-0.7142415608516745,0.06730876447452411,0.0017671742724250912,0.027349999172832193,0.9407178629158749,0.9899874649951609,0.958355944920945,0.9933636778937113,0.2667176548778054,1.0433381723123096,0.01906525737525365,0.05674902455699363,0.019143006140608636,0.05690391894420218,0.9793112459661029,0.992249603341928
sensitivity_5min_horizon,300.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,2663.5,10249.666666666666,2466.5,4283.25,5966.416666666666,6163.416666666666,0.9811423101467773,0.236104020421187,-0.7450382897255903,0.41001116783663055,0.5711311423101467,0.968037208799232,0.4001838806938792,0.681209211456125,0.6665148775557254,200,5971,2644,2485,148054,0.03240965807810728,0.07032348804500703,0.9834926497452487,0.960983297731516,0.9945083497724351,0.1287942618528337,0.3720228509792426,-0.8585199893995021,-0.6025191318241508,0.34331549444111226,0.47653604993472976,0.500527768666181,0.6399248103957735,0.9329585322363156,0.9908800072039524,0.21687354582929894,0.6430488431211486,0.01571847171879979,0.05455312887713292,0.0340335272747327,0.11739104021413839,0.9757927984795927,0.9895280468347811
primary_10min_horizon,600.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,3173.0,10241.916666666666,2968.25,3803.0,6438.916666666666,6643.666666666666,0.9804004467134653,0.2841336949585195,-0.6962667517549458,0.36403956604977666,0.6163608806636885,0.9691811750539361,0.44677888716070446,0.6047823918194288,0.5926977370720452,205,5966,3013,3061,183876,0.03321989953005996,0.0637041640770665,0.9836254994998315,0.9610659816731982,0.9934182065018117,0.1579886432269256,0.4478669539393623,-0.825432118673983,-0.5325962130781186,0.304228771839127,0.4236367711999107,0.5520137703495444,0.6823136595753942,0.9388255872238036,0.989821687111869,0.25330665007125863,0.70583031447837,0.01770452171437987,0.05143906593990434,0.03364878248116574,0.09915230334807164,0.9765154526110957,0.9896847084366798
no_maximum_horizon,,actual_timing_only,55.0,365,10446.666666666666,17310.090716666706,8339.31,15202.73405000004,112.08333333333333,8227.226666666667,10334.583333333332,0.7982747287811104,1.4552712874920268,0.6569965587109164,0.010729100191448628,0.7875456285896619,0.796086924968754,1.4710543772930733,0.0011514320156295467,0.009697990477297367,1465,4706,4670,6224,468227,0.2374007454221358,0.23879380603096984,0.9868816800891979,0.7312394184578943,0.8604601918107475,0.27404163521083047,3.35030186375908,-0.5430183978000699,2.5475909291222294,0.001607510889553127,0.028399135514458062,0.7197471195322945,0.8515380518455816,0.7273467930051911,0.8582091610700258,0.2781142153089009,3.3764719091006756,0.1824565268220348,0.29252104030633563,0.18348130681439545,0.2952415332655573,0.9770940960990893,0.994332538318089
sensitivity_5min_horizon,300.0,actual_timing_only,55.0,365,10446.666666666666,4283.832016666663,8384.394833333334,2221.5601833333285,4283.25,4101.144833333333,6163.416666666666,0.8025904435226549,0.21265732450542393,-0.5899331190172308,0.41001116783663055,0.39257927568602424,0.665401197928638,0.3604429658874264,0.681209211456125,0.6665148775557254,1266,4905,1578,1246,149293,0.20515313563441906,0.4451476793248945,0.9917230750835332,0.7335505025345369,0.8625143192258565,0.16729189237677197,0.2643689038385296,-0.671755076769243,-0.5022189899069032,0.34513244083640865,0.47393075191213363,0.34264207057338913,0.44729242254077645,0.5750455877873698,0.7531503799166139,0.28612107763730954,0.45035857838393717,0.16095039174185882,0.2565636679431939,0.3778391801959206,0.5029323124994802,0.9899307628730507,0.9933156747323889
primary_10min_horizon,600.0,actual_timing_only,55.0,365,10446.666666666666,4780.605216666663,8365.414,2699.3525499999964,3803.0,4562.414,6643.666666666666,0.8007735162731335,0.25839367102744065,-0.5423798452456927,0.36403956604977666,0.43673395022335676,0.6867313230645729,0.40630463348552454,0.6047823918194288,0.5926977370720452,1298,4873,1920,1548,185389,0.2103386809269162,0.4033561218147918,0.9917191353236652,0.7312982405451667,0.8593401435920061,0.18541443572152538,0.3453579188429742,-0.6438039739113403,-0.42529230157902553,0.30168195997371794,0.4205475603004512,0.38930156176000724,0.4990931843889325,0.6020235065135092,0.7702209358843384,0.2950844021394502,0.5330134528732563,0.16760020257662306,0.2564011374783058,0.3390530945636862,0.46275722140786063,0.9894929776147465,0.9936535325304124
no_maximum_horizon,,actual_nibp_timing_plus_cuff,60.0,365,19401.25,21775.666666666664,18320.25,20694.666666666664,147.33333333333331,18172.916666666664,19253.916666666664,0.9442819405966111,1.0666666666666667,0.1223847260700555,0.0075940124132895205,0.9366879281833214,0.9438555791678749,1.074828930910161,0.0011514320156295467,0.009697990477297367,1829,13073,13023,25220,440514,0.1227352033284123,0.12314839752221923,0.9458489180519353,0.9122790277735172,0.9673992425313475,0.7094399735329276,1.4931519449039239,-0.24688540148010382,0.5472851327273085,0.0012701586392051282,0.01772104243170114,0.9019118835632755,0.963578436079204,0.9115342526971411,0.9672883154884272,0.7142214567496691,1.4988756841813586,0.07644265486394826,0.17540650824448986,0.07659303662126911,0.17613140670852745,0.9301567092984389,0.9614392334074057
sensitivity_5min_horizon,300.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,7364.333333333334,18706.166666666668,6669.25,9379.916666666666,9326.25,10021.333333333334,0.9641732706225974,0.3437536241221571,-0.6204196465004402,0.48346970770783665,0.48070356291476063,0.9306396354443852,0.6655052554550293,0.681209211456125,0.6665148775557254,1032,13870,5206,7559,139586,0.06925244933565965,0.1654376402693171,0.9486289034625709,0.9456295063925624,0.9787078514057411,0.24435527810122037,0.4563782984267113,-0.7251235077793053,-0.5059215205042772,0.422314441846979,0.5398971820150074,0.4235778753229585,0.546022802828867,0.8910216449014848,0.959676842631296,0.467940900990744,0.9105851261134826,0.04413277884203464,0.09557617343205727,0.10588117529629817,0.22459968652138929,0.93565517998968,0.9605698704922498
primary_10min_horizon,600.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,8943.333333333332,18642.916666666668,8185.0,8262.333333333334,10380.583333333334,11138.916666666668,0.9609131714021864,0.42188003350299597,-0.5390331378991904,0.425866030968795,0.5350471404333913,0.9319203692758871,0.7348111351343263,0.6047823918194288,0.5926977370720452,1197,13705,6189,9355,173414,0.08032478861897732,0.1620633631194151,0.9488151710629265,0.9408256699196941,0.9771268427546785,0.28896842670707207,0.5812605754888228,-0.6794514113700697,-0.3762752996751078,0.3677611815062329,0.47586052020756114,0.4816992328173192,0.5945996547001308,0.8966692048152476,0.9604334911155153,0.49961975553317584,1.0101392901560655,0.05270292294183386,0.11023700837053305,0.10724914520259818,0.21786078377819632,0.9361388502705121,0.9612539143961908
no_maximum_horizon,,actual_timing_only,60.0,365,19401.25,28454.16073333337,14653.144533333332,23706.0552666667,147.33333333333331,14505.8112,19253.916666666664,0.7552680643429331,1.2218828821167038,0.4666148177737708,0.0075940124132895205,0.7476740519296438,0.7533953455357569,1.2312328798902406,0.0011514320156295467,0.009697990477297367,5575,9327,9277,17926,447808,0.37411085760300633,0.37537032049555613,0.9615102182791035,0.7028111372918023,0.8080300762394905,0.4291445814725063,2.3744232802885192,-0.3438333280880413,1.609260630310107,0.0012202173718253223,0.018113712511669773,0.6953125896728742,0.8012638271147065,0.7006471664689297,0.8065707474062156,0.4322210641628439,2.3784896861117386,0.30187006455154725,0.4546601810300039,0.3030877402782279,0.45610371695398993,0.9458131785404433,0.9753087115328325
