horizon_rule,display_validity_sec,mechanism,threshold,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,missing_timepoints,total_timepoints,HDR,ODR,NetBias,missing_timepoint_fraction,reference_episodes,detected_episodes,missed_episodes,episode_sensitivity,tp,fn_false_reassurance,fp_overdisplay,tn,event_sensitivity,specificity
next_event_no_maximum_horizon,,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,6982.5,10231.583333333332,6767.416666666666,5090,524851,0.979411295469049,0.6478063178047224,-0.3316049776643267,0.009697990477297367,1733,51,1682,0.029428736295441432,222,5949,7040,511640,0.03597472046669908,0.9864270841366546
max_5min_display_validity,300.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,2999.1666666666665,10249.666666666666,2802.1666666666665,349821,524851,0.9811423101467773,0.2682354818123803,-0.712906828334397,0.6665148775557254,1733,39,1694,0.022504327755337564,200,5971,2837,515843,0.03240965807810728,0.9945303462635922
max_10min_display_validity_primary_config,600.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,3526.1666666666665,10241.916666666666,3321.4166666666665,311078,524851,0.9804004467134653,0.31794033184428844,-0.6624601148691768,0.5926977370720452,1733,42,1691,0.024235429890363532,205,5966,3421,515259,0.03321989953005996,0.9934044111976555
next_event_no_maximum_horizon,,actual_timing_only,55.0,365,10446.666666666666,18772.024158333377,8339.31,16664.66749166671,5090,524851,0.7982747287811104,1.5952138632737758,0.7969391344926654,0.009697990477297367,1733,261,1472,0.15060588574725908,1465,4706,6658,512022,0.2374007454221358,0.9871635690599213
max_5min_display_validity,300.0,actual_timing_only,55.0,365,10446.666666666666,4994.7532583333295,8384.394833333332,2932.4814249999963,349821,524851,0.8025904435226546,0.280709772654754,-0.5218806708679008,0.6665148775557254,1733,223,1510,0.1286785920369302,1266,4905,1476,517204,0.20515313563441906,0.9971543147991054
max_10min_display_validity_primary_config,600.0,actual_timing_only,55.0,365,10446.666666666666,5541.318991666664,8365.413999999999,3460.066324999997,311078,524851,0.8007735162731333,0.3312124752712186,-0.4695610410019147,0.5926977370720452,1733,230,1503,0.13271783035199078,1298,4873,1788,516892,0.2103386809269162,0.9965527878460708
next_event_no_maximum_horizon,,actual_nibp_timing_plus_cuff,60.0,365,19401.25,23251.833333333332,18320.25,22170.833333333332,5090,524851,0.9442819405966111,1.1427528294998175,0.19847088890320636,0.009697990477297367,2905,246,2659,0.0846815834767642,1829,13073,26975,482974,0.1227352033284123,0.9471025533925942
max_5min_display_validity,300.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,8243.666666666666,18706.166666666664,7548.583333333333,349821,524851,0.9641732706225972,0.3890771642720615,-0.5750961063505359,0.6665148775557254,2905,140,2765,0.04819277108433735,1032,13870,8424,501525,0.06925244933565965,0.9834807010112776
max_10min_display_validity_primary_config,600.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,9870.666666666666,18642.916666666664,9112.333333333332,311078,524851,0.9609131714021861,0.4696776410454652,-0.491235530356721,0.5926977370720452,2905,167,2738,0.05748709122203098,1197,13705,10275,499674,0.08032478861897732,0.9798509262690975
next_event_no_maximum_horizon,,actual_timing_only,60.0,365,19401.25,30401.785858333376,14653.144533333332,25653.680391666705,5090,524851,0.7552680643429331,1.3222694615896762,0.5670013972467431,0.009697990477297367,2905,640,2265,0.22030981067125646,5575,9327,18812,491137,0.37411085760300633,0.9631100364938454
max_5min_display_validity,300.0,actual_timing_only,60.0,365,19401.25,8587.410958333327,15404.959866666666,4591.1208249999945,349821,524851,0.7940189352060649,0.2366404651762126,-0.5573784700298524,0.6665148775557254,2905,442,2463,0.15215146299483648,3570,11332,2773,507176,0.23956515903905515,0.9945622013181711
max_10min_display_validity_primary_config,600.0,actual_timing_only,60.0,365,19401.25,9753.919358333327,15274.981699999998,5627.651058333328,311078,524851,0.7873194613749114,0.290066416253248,-0.49725304512166346,0.5926977370720452,2905,468,2437,0.16110154905335627,3870,11032,3852,506097,0.25969668500872367,0.9924463034538747
next_event_no_maximum_horizon,,actual_nibp_timing_plus_cuff,65.0,365,41564.58333333333,63946.0,36592.08333333333,58973.5,5090,524851,0.8803668989023107,1.418840158388051,0.5384732594857402,0.009697990477297367,5034,829,4205,0.16468017481128328,7382,29724,52809,434936,0.19894356707810057,0.8917282596438713
max_5min_display_validity,300.0,actual_nibp_timing_plus_cuff,65.0,365,41564.58333333333,21380.333333333332,38914.33333333333,18730.083333333332,349821,524851,0.9362377825672898,0.45062603378276783,-0.48561174878452207,0.6665148775557254,5034,450,4584,0.08939213349225268,3747,33359,16099,471646,0.10098097342747804,0.9669929983905524
max_10min_display_validity_primary_config,600.0,actual_nibp_timing_plus_cuff,65.0,365,41564.58333333333,25978.5,38486.75,22900.666666666664,311078,524851,0.9259505789183501,0.5509658663726129,-0.374984712545737,0.5926977370720452,5034,516,4518,0.10250297973778308,4421,32685,19911,467834,0.11914515172748343,0.959177439030641
next_event_no_maximum_horizon,,actual_timing_only,65.0,365,41564.58333333333,59338.9213916667,28390.451766666658,46164.78982500003,5090,524851,0.6830443009372963,1.1106761122750748,0.4276318113377785,0.009697990477297367,5034,1379,3655,0.2739372268573699,15353,21753,32627,455118,0.4137605778041287,0.9331064388153646
max_5min_display_validity,300.0,actual_timing_only,65.0,365,41564.58333333333,17089.87649166666,32193.956599999998,7719.249758333325,349821,524851,0.7745526123001354,0.18571700085208745,-0.5888356114480479,0.6665148775557254,5034,926,4108,0.1839491458085022,9691,27415,5189,482556,0.26117070015630894,0.9893612440927124
max_10min_display_validity_primary_config,600.0,actual_timing_only,65.0,365,41564.58333333333,20109.831724999993,31575.39335,10120.641741666657,311078,524851,0.7596706334519574,0.24349195709488228,-0.5161786763570749,0.5926977370720452,5034,1003,4031,0.1992451330949543,10645,26461,7508,480237,0.2868808278984531,0.9846067104737106
