horizon_rule,display_validity_sec,mechanism,threshold,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,missing_timepoints,total_timepoints,HDR,ODR,NetBias,missing_timepoint_fraction,reference_episodes,detected_episodes,missed_episodes,episode_sensitivity,tp,fn_false_reassurance,fp_overdisplay,tn,event_sensitivity,specificity
next_event_no_maximum_horizon,,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,6982.5,10231.583333333332,6767.416666666666,5090,524851,0.979411295469049,0.6478063178047224,-0.3316049776643267,0.0096979904772973,1733,51,1682,0.0294287362954414,222,5949,7040,511640,0.035974720466699,0.9864270841366546
max_5min_display_validity,300.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,2999.1666666666665,10249.666666666666,2802.1666666666665,349821,524851,0.9811423101467772,0.2682354818123803,-0.712906828334397,0.6665148775557254,1733,39,1694,0.0225043277553375,200,5971,2837,515843,0.0324096580781072,0.9945303462635922
max_10min_display_validity_primary_config,600.0,actual_nibp_timing_plus_cuff,55.0,365,10446.666666666666,3526.1666666666665,10241.916666666666,3321.4166666666665,311078,524851,0.9804004467134652,0.3179403318442884,-0.6624601148691768,0.5926977370720452,1733,42,1691,0.0242354298903635,205,5966,3421,515259,0.0332198995300599,0.9934044111976555
next_event_no_maximum_horizon,,actual_timing_only,55.0,365,10446.666666666666,18772.024158333377,8339.31,16664.66749166671,5090,524851,0.7982747287811104,1.5952138632737758,0.7969391344926654,0.0096979904772973,1733,261,1472,0.150605885747259,1465,4706,6658,512022,0.2374007454221358,0.9871635690599212
max_5min_display_validity,300.0,actual_timing_only,55.0,365,10446.666666666666,4994.7532583333295,8384.394833333332,2932.4814249999963,349821,524851,0.8025904435226546,0.280709772654754,-0.5218806708679008,0.6665148775557254,1733,223,1510,0.1286785920369302,1266,4905,1476,517204,0.205153135634419,0.9971543147991054
max_10min_display_validity_primary_config,600.0,actual_timing_only,55.0,365,10446.666666666666,5541.318991666664,8365.413999999999,3460.066324999997,311078,524851,0.8007735162731333,0.3312124752712186,-0.4695610410019147,0.5926977370720452,1733,230,1503,0.1327178303519907,1298,4873,1788,516892,0.2103386809269162,0.9965527878460708
next_event_no_maximum_horizon,,actual_nibp_timing_plus_cuff,60.0,365,19401.25,23251.833333333332,18320.25,22170.833333333332,5090,524851,0.9442819405966112,1.1427528294998175,0.1984708889032063,0.0096979904772973,2905,246,2659,0.0846815834767642,1829,13073,26975,482974,0.1227352033284123,0.9471025533925942
max_5min_display_validity,300.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,8243.666666666666,18706.166666666664,7548.583333333333,349821,524851,0.9641732706225972,0.3890771642720615,-0.5750961063505359,0.6665148775557254,2905,140,2765,0.0481927710843373,1032,13870,8424,501525,0.0692524493356596,0.9834807010112776
max_10min_display_validity_primary_config,600.0,actual_nibp_timing_plus_cuff,60.0,365,19401.25,9870.666666666666,18642.916666666664,9112.333333333332,311078,524851,0.960913171402186,0.4696776410454652,-0.491235530356721,0.5926977370720452,2905,167,2738,0.0574870912220309,1197,13705,10275,499674,0.0803247886189773,0.9798509262690976
next_event_no_maximum_horizon,,actual_timing_only,60.0,365,19401.25,30401.785858333376,14653.144533333332,25653.680391666705,5090,524851,0.7552680643429331,1.3222694615896762,0.5670013972467431,0.0096979904772973,2905,640,2265,0.2203098106712564,5575,9327,18812,491137,0.3741108576030063,0.9631100364938454
max_5min_display_validity,300.0,actual_timing_only,60.0,365,19401.25,8587.410958333327,15404.959866666666,4591.1208249999945,349821,524851,0.7940189352060649,0.2366404651762126,-0.5573784700298524,0.6665148775557254,2905,442,2463,0.1521514629948364,3570,11332,2773,507176,0.2395651590390551,0.9945622013181712
max_10min_display_validity_primary_config,600.0,actual_timing_only,60.0,365,19401.25,9753.919358333327,15274.981699999998,5627.651058333328,311078,524851,0.7873194613749114,0.290066416253248,-0.4972530451216634,0.5926977370720452,2905,468,2437,0.1611015490533562,3870,11032,3852,506097,0.2596966850087236,0.9924463034538747
