threshold,mechanism,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR,ODR,NetBias,HDR_unavailable_component,HDR_valid_mismatch_component,HDR_display_valid,ODR_display_valid,display_unavailable_fraction
55.0,actual_nibp_timing_plus_cuff,1993,54109.166666666664,16046.666666666664,53063.25,15000.75,18438.25,34625.0,35670.916666666664,0.9806702499576474,0.2772312146740386,-0.7034390352836087,0.3407601915879934,0.639910058369654,0.9706787275348031,0.42053166561928373,0.6066696670907061
55.0,actual_timing_only,1993,54109.166666666664,26292.51738299997,43890.474086,16073.824802333304,18438.25,25452.224086000002,35670.916666666664,0.8111467388951349,0.29706287848331253,-0.5140838604118223,0.3407601915879934,0.47038654730714147,0.713528736136582,0.45061429041866424,0.6066696670907061
55.0,fixed_5min_frequency_only,1993,54109.166666666664,52739.0,43591.0,42220.83333333333,19530.583333333332,24060.416666666668,34578.58333333333,0.8056121113181686,0.7802898461443686,-0.025322265173799836,0.3609477753307357,0.4446643359874329,0.6958184618128275,1.221011078630077,0.01138668577140749
60.0,actual_nibp_timing_plus_cuff,1993,98305.41666666666,48821.33333333333,93853.33333333333,44369.25,39243.25,54610.08333333333,59062.16666666666,0.9547117190049718,0.45134084676581915,-0.5033708722391527,0.3991972297219974,0.5555144892829744,0.9246203858646117,0.7512296365693776,0.6066696670907061
60.0,actual_timing_only,1993,98305.41666666666,47665.426468999955,77796.47719566667,27156.486997999957,39243.25,38553.22719566667,59062.16666666666,0.791375285651435,0.2762460901832296,-0.5151291954682053,0.3991972297219974,0.3921780559294376,0.652756737036964,0.4597949674156885,0.6066696670907061
60.0,fixed_5min_frequency_only,1993,98305.41666666666,96428.75,71723.25,69846.58333333333,24563.75,47159.5,73741.66666666666,0.7295961141510514,0.7105059487227307,-0.019090165428320656,0.24987178563405715,0.47972432851699426,0.6395231099559273,0.9471793422985648,0.01138668577140749
65.0,actual_nibp_timing_plus_cuff,1993,213823.3333333333,127371.99999999999,196413.58333333334,109962.25,99607.58333333333,96806.0,114215.75,0.9185788111680984,0.5142668402263552,-0.4043119709417432,0.46584056931734924,0.4527382418507491,0.8475713725996633,0.9627590765721891,0.6066696670907061
65.0,actual_timing_only,1993,213823.3333333333,100191.75396633327,163066.37878099998,49434.79941399995,99607.58333333333,63458.795447666664,114215.75,0.7626220031225155,0.23119459716276655,-0.5314274059597489,0.46584056931734924,0.29678143380516625,0.5556045943546898,0.432819461536609,0.6066696670907061
65.0,fixed_5min_frequency_only,1993,213823.3333333333,211198.66666666666,129592.99999999999,126968.33333333331,30862.33333333333,98730.66666666666,182961.0,0.6060751087346251,0.5938001777168067,-0.012274931017818404,0.14433566651597113,0.46173944221865404,0.5396268421503307,0.6939639230947213,0.01138668577140749
55.0,cuff_level_increment_actual_minus_timing,1993,54109.166666666664,-10245.850716333305,9172.775913999998,-1073.0748023333035,0.0,9172.775913999998,0.0,0.1695235110625125,-0.019831663809273925,-0.18935517487178644,0.0,0.1695235110625125,0.25714999139822114,-0.03008262479938051,0.0
60.0,cuff_level_increment_actual_minus_timing,1993,98305.41666666666,1155.906864333374,16056.856137666662,17212.763002000043,0.0,16056.856137666662,0.0,0.16333643335353676,0.17509475658258955,0.01175832322905268,0.0,0.16333643335353681,0.2718636488276477,0.2914346691536891,0.0
65.0,cuff_level_increment_actual_minus_timing,1993,213823.3333333333,27180.246033666714,33347.204552333365,60527.45058600005,0.0,33347.204552333336,0.0,0.15595680804558287,0.2830722430635886,0.1271154350180057,0.0,0.15595680804558287,0.2919667782449735,0.5299396150355801,0.0
