comparison,variable,smd,flag_abs_smd_gt_0_2
nibp_mechanism_subset_vs_primary,age,0.024507996922270035,False
nibp_mechanism_subset_vs_primary,sex_male,0.05060041789811334,False
nibp_mechanism_subset_vs_primary,asa_num,0.014405530099529445,False
nibp_mechanism_subset_vs_primary,emergency,-0.03737854175568594,False
nibp_mechanism_subset_vs_primary,department_general_surgery,0.014538736213169132,False
nibp_mechanism_subset_vs_primary,duration_min,0.016490938338438198,False
nibp_mechanism_subset_vs_primary,true_auc,0.04000477579866346,False
nibp_mechanism_subset_vs_primary,episode_count,-0.004083305019413849,False
paired_agreement_cases_vs_primary,age,0.019556303576126467,False
paired_agreement_cases_vs_primary,sex_male,0.06867006107000101,False
paired_agreement_cases_vs_primary,asa_num,0.015313877527746938,False
paired_agreement_cases_vs_primary,emergency,-0.03031433214743014,False
paired_agreement_cases_vs_primary,department_general_surgery,0.03757044094455408,False
paired_agreement_cases_vs_primary,duration_min,0.03268077514997921,False
paired_agreement_cases_vs_primary,true_auc,0.057380301846761315,False
paired_agreement_cases_vs_primary,episode_count,0.008278943886867295,False
mechanism_without_paired_agreement_vs_primary,age,0.11748361196381574,False
mechanism_without_paired_agreement_vs_primary,sex_male,-0.28789076918897316,True
mechanism_without_paired_agreement_vs_primary,asa_num,-0.006662805243040893,False
mechanism_without_paired_agreement_vs_primary,emergency,-0.187723690008472,False
mechanism_without_paired_agreement_vs_primary,department_general_surgery,-0.4223039227645969,True
mechanism_without_paired_agreement_vs_primary,duration_min,-0.3825428733675394,True
mechanism_without_paired_agreement_vs_primary,true_auc,-0.3875693892966685,True
mechanism_without_paired_agreement_vs_primary,episode_count,-0.2954361470056087,True
