threshold,interval_min,offset_count,hdr_min,hdr_median,hdr_max,hdr_sd,odr_min,odr_median,odr_max
55.0,1.0,6,0.48810642063393606,0.4927973901220627,0.49717313861368595,0.003941021080849321,0.42937657135767837,0.44272219282410163,0.45326880375530754
55.0,2.5,15,0.67690354237507,0.6814356354171678,0.6962763412083725,0.005000369926874658,0.5776608323353445,0.6188142626740362,0.6565053258422984
55.0,3.0,18,0.7053417932403453,0.7146072650211034,0.7213256498742914,0.0044570998714431025,0.6158595405622327,0.6508414754874532,0.6904732365980438
55.0,5.0,30,0.7806922708824416,0.793703049161816,0.8038312643526829,0.005181630207425957,0.6643630636948965,0.7246304065464693,0.7885867212205763
55.0,10.0,60,0.8545261430875454,0.8688079329351506,0.8898384903825948,0.007895784777126762,0.6674924865999428,0.8076753147779148,0.9267940378923489
60.0,1.0,6,0.40613157606259787,0.40956556670732364,0.41269497670894717,0.0029088912372104508,0.3679937779516917,0.3780119834097213,0.38391592186639245
60.0,2.5,15,0.5912291875675593,0.5944650967234338,0.6060412425780148,0.003699410571611297,0.5248597472050043,0.5522171944445601,0.578497855446998
60.0,3.0,18,0.6238664951579309,0.6302616479547305,0.6357784429060461,0.0036889937796977315,0.5619887520241778,0.5895536471277143,0.6141129765230072
60.0,5.0,30,0.7065091450511543,0.7181307351702529,0.7262035098235929,0.005332119615482962,0.6345809345005918,0.6711961762987693,0.7103667039934061
60.0,10.0,60,0.7985348214075094,0.8086626481448332,0.8264341307934499,0.0069519446583864416,0.6790524836157815,0.7686890405085316,0.8514055806944438
65.0,1.0,6,0.3009376285091948,0.30285918856235594,0.30533276214604554,0.0018156130187875002,0.28026905972106314,0.28623919569372247,0.29014015486887373
65.0,2.5,15,0.4651014312944956,0.4690770727837944,0.4742079066642684,0.002362172765505721,0.4286933264519672,0.44454218470239254,0.4604917846276467
65.0,3.0,18,0.4995239399719449,0.5037280775628269,0.5068637813657775,0.00210781895189532,0.4654811988068627,0.48073466422513766,0.49283049784184
65.0,5.0,30,0.5906395412027093,0.597773926783366,0.6031734580962302,0.003243524456071754,0.549317022292194,0.5725073109218595,0.5951983403365217
65.0,10.0,60,0.6999626906226345,0.7077458589451298,0.7172305128418623,0.004417033651249422,0.6336536939779359,0.6815725680101644,0.7306250242320275
