strategy,definition,threshold,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,measurement_burden,sample_count_total,trigger_count_total,selected_continuous_cases,HDR65,ODR65,hdr_reduction_vs_5min,relative_hdr_reduction_vs_5min,extra_measurements_per_hour,cost_domain,extra_cuff_inflations_per_hour,modality_burden_note
fixed_2_5min,Fixed every 2.5 min,55.0,2435,65826.83333333333,63671.25,44558.416666666664,42402.83333333333,0.67690354237507,0.6441572712242475,-0.03274627115082253,24.0,232789,0,0,,,,,12.0,cuff_cadence,12.0,
fixed_2_5min,Fixed every 2.5 min,60.0,2435,120110.5,117707.5,71099.41666666666,68696.41666666666,0.5919500515497534,0.5719434742729957,-0.020006577276757653,24.0,232789,0,0,,,,,12.0,cuff_cadence,12.0,
fixed_2_5min,Fixed every 2.5 min,65.0,2435,262221.8333333333,259939.5833333333,122288.33333333333,120006.08333333333,0.4663545051867662,0.4576509965163084,-0.008703508670457775,24.0,232789,0,0,0.4663545051867662,0.4576509965163084,0.1278094056495423,0.21510799178234447,12.0,cuff_cadence,12.0,
fixed_3min,Fixed every 3 min,55.0,2435,65826.83333333333,64848.08333333333,46430.416666666664,45451.666666666664,0.7053417932403453,0.6904732365980438,-0.014868556642301392,20.0,194264,0,0,,,,,8.0,cuff_cadence,8.0,
fixed_3min,Fixed every 3 min,60.0,2435,120110.5,118938.33333333333,74933.58333333333,73761.41666666666,0.6238720456024521,0.6141129765230072,-0.00975906907944494,20.0,194264,0,0,,,,,8.0,cuff_cadence,8.0,
fixed_3min,Fixed every 3 min,65.0,2435,262221.8333333333,260323.0833333333,131129.66666666666,129230.91666666666,0.5000715043433327,0.49283049784184,-0.007241006501492693,20.0,194264,0,0,0.5000715043433327,0.49283049784184,0.09409240649297579,0.1583610259339668,8.0,cuff_cadence,8.0,
fixed_5min_reference,Fixed every 5 min,55.0,2435,65826.83333333333,64605.416666666664,51703.58333333333,50482.166666666664,0.78544843668109,0.7668934401118085,-0.018554996569281487,12.0,116953,0,0,,,,,0.0,cuff_cadence,0.0,
fixed_5min_reference,Fixed every 5 min,60.0,2435,120110.5,118322.33333333333,85546.24999999999,83758.08333333333,0.7122295719358422,0.6973418921187851,-0.014887679817057268,12.0,116953,0,0,,,,,0.0,cuff_cadence,0.0,
fixed_5min_reference,Fixed every 5 min,65.0,2435,262221.8333333333,259725.66666666666,155802.75,153306.58333333334,0.5941639108363085,0.5846446170576949,-0.009519293778613618,12.0,116953,0,0,0.5941639108363085,0.5846446170576949,0.0,0.0,0.0,cuff_cadence,0.0,
induction_intensified_first20min,"1-min sampling for first 20 min, then 5-min",55.0,2435,65826.83333333333,67935.58333333333,41155.5,43264.25,0.625208564896281,0.6572433733963607,0.03203480850007976,16.95111477605436,155913,0,0,,,,,4.951114776054361,cuff_cadence,4.951114776054361,
