threshold,interval_min,n_cases,true_auc_total,hidden_auc_total,HDR,HDR_ci_low,HDR_ci_high,overdisplay_auc_total,ODR,ODR_ci_low,ODR_ci_high,NetBias,NetBias_ci_low,NetBias_ci_high,normotensive_display_discordance_min_per_anesthesia_hour,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_min_per_anesthesia_hour,episode_sensitivity
55.0,1.0,2435,65826.83333333333,32430.347222222223,0.4926615117273182,0.4717328764207174,0.5127545564803715,63416.48611111111,0.9633835155032184,0.8973227112655725,1.0347456636267154,0.4707220037759002,0.410899430216735,0.5391912939229483,0.2430374663462797,0.2324892417031778,0.2546533197950972,0.3736393598435999,1.0
55.0,2.5,2435,65826.83333333333,44952.83888888889,0.6828953576007083,0.6585083870467846,0.7051092363208078,59628.13333333333,0.905833234167424,0.8557046919985564,0.9575491131987696,0.2229378765667158,0.1811877828900632,0.2687844794326576,0.3648303484280163,0.3480113856390173,0.3826807005407608,0.430078364012792,0.7519071310116087
55.0,3.0,2435,65826.83333333333,47019.31018518518,0.7142878945291082,0.6904980046308838,0.7377268194962168,59267.50462962962,0.9003547888975817,0.8575055876617775,0.9487591977458256,0.1860668943684734,0.1529851923386871,0.2259705567920069,0.3878521444648721,0.3679525660891163,0.4065139458783463,0.4432342513725903,0.683605780620706
55.0,5.0,2435,65826.83333333333,52196.225000000006,0.792932340155104,0.7678969476865211,0.8131092099300875,59090.09722222222,0.8976597267409525,0.866061457004974,0.9290255110049972,0.1047273865858484,0.0836208777009381,0.1290770698609831,0.4471037879439493,0.425077819520495,0.4714136285152095,0.4806287761998473,0.50075811419095
55.0,10.0,2435,65826.83333333333,57233.96111111111,0.8694624701341821,0.8505865663839545,0.8888676313044542,59361.399999999994,0.9017811885224112,0.8804717052352067,0.9240963822931784,0.032318718388229,0.0222632707583106,0.0437631203498101,0.5104586514117518,0.480172461091755,0.5435523736240753,0.5231819799304588,0.3127339493011135
60.0,1.0,2435,120110.5,49180.19444444444,0.409457911210464,0.3943923425298739,0.4249590855923009,87012.5,0.7244370808547129,0.6780221914674431,0.7770242984919229,0.3149791696442489,0.2746691641509166,0.3625096232952534,0.4335062322130433,0.4166449815145935,0.4508362552452258,0.5858415465335408,1.0
60.0,2.5,2435,120110.5,71530.43333333332,0.5955385526938387,0.5753943054789009,0.6139958250003461,89730.09444444443,0.7470628666473326,0.7126524489078522,0.7871958845975532,0.1515243139534937,0.1255655759853696,0.1851113713522145,0.7101670697393975,0.6786603995292879,0.7404872884608311,0.7907973418199632,0.79651728553137
60.0,3.0,2435,120110.5,75612.58796296296,0.6295252118920741,0.6097428292016002,0.6474385189908423,90879.06944444444,0.7566288496379954,0.7249372352160931,0.7936379621853881,0.1271036377459212,0.1046074568137565,0.1561073093978678,0.7694820004796407,0.737683531505999,0.8016945290193982,0.8386425112615365,0.7367335325081804
60.0,5.0,2435,120110.5,86197.83055555556,0.7176544145229231,0.6973222987106832,0.7350912826614593,94998.2361111111,0.7909236587235179,0.7650999103051749,0.8187326657944972,0.0732692442005947,0.058507805923999,0.0919690831998566,0.9319889201265862,0.8870189602332647,0.969857768298544,0.9774113381429734,0.5651301749893298
60.0,10.0,2435,120110.5,97292.96805555554,0.8100288322466024,0.7919755019561424,0.8275103927819595,100280.18194444444,0.8348993796915709,0.8151766585279492,0.8534059065532255,0.0248705474449684,0.0178070445539104,0.0333373987020364,1.1197861005640333,1.0682415866005637,1.1740648733531005,1.143035251292139,0.3737046521553563
65.0,1.0,2435,262221.8333333333,79485.68055555556,0.3031238075988672,0.2936000766997126,0.3131568551298618,125745.75,0.4795395883002369,0.4534057806842999,0.5112730484153869,0.1764157807013696,0.1540538168598294,0.2026757456312325,0.774313886979883,0.7472221211813986,0.801822528010066,0.9679355091301942,1.0
65.0,2.5,2435,262221.8333333333,122980.5611111111,0.4689943607967215,0.4544730029985244,0.4825862654172647,146042.20555555553,0.5569414403792547,0.5344252091040774,0.5814481708151878,0.0879470795825332,0.0736354557663153,0.1038313446990145,1.3349975965224226,1.2877459282190389,1.3811676426325097,1.45291557220458,0.8490765937375278
65.0,3.0,2435,262221.8333333333,131955.54166666666,0.5032210323193276,0.4882411564028137,0.5169650799336916,151518.30555555553,0.5778249035538824,0.5560235489316312,0.6010946691200945,0.0746038712345547,0.0613987371009936,0.0902801410856493,1.469770887648906,1.4171964357446194,1.5214377795819032,1.5750847258208862,0.802450322315349
65.0,5.0,2435,262221.8333333333,156657.8111111111,0.5974247419434733,0.5814571937502134,0.6126324766090073,168477.23611111112,0.6424988871805531,0.6232843170258885,0.6613962714816947,0.0450741452370798,0.0368140968531498,0.0549277132964015,1.8681473200865424,1.8016841916338815,1.9355799067241717,1.9453704361614208,0.657762780740902
65.0,10.0,2435,262221.8333333333,185640.6222222222,0.7079525753533956,0.6920016405090013,0.7225371806382715,190465.93055555556,0.7263542022202152,0.7094644329048551,0.7417585287610172,0.0184016268668195,0.0142510405077995,0.0232475814661099,2.395246781483183,2.3064484494106385,2.4827750689168435,2.447245608942835,0.4728130329088205
