sensitivity,n_cases,excluded_cases,TrueAUC65,HDR65,ODR65,NetBias
coverage_ge_80pct,2435,0,262221.8333333333,0.5974247419434733,0.5729922163020157,-0.02443252564145742
coverage_ge_90pct,1523,912,184530.41666666666,0.5875486952994049,0.5678315303333763,-0.019717164966028586
coverage_ge_95pct,504,1931,66846.41666666666,0.5875734218280628,0.5735937811010395,-0.013979640727022994
time_window_anaesthetic_interval,2435,0,262221.8333333333,0.5974247419434733,0.5729922163020157,-0.02443252564145742
time_window_surgery_interval_coverage_matched,2425,10,261236.75,0.5974361591757498,0.5729504409739866,-0.024485718201763106
map_range_20_180_primary,2435,0,262221.8333333333,0.5974247419434733,0.5729922163020157,-0.02443252564145742
map_range_30_150_artifact_subset,2272,163,222723.3333333333,0.6127396969833027,0.5868486936957162,-0.02589100328758642
aggregation_10s_median_primary,2435,0,262221.8333333333,0.5974247419434733,0.5729922163020157,-0.02443252564145742
aggregation_10s_mean_matched_primary_grid,2435,0,262221.8333333333,0.5974247419434733,0.5729922163020157,-0.02443252564145742
artifact_exclusion_flatline_top5pct_removed,2272,163,222723.3333333333,0.6127396969833027,0.5868486936957162,-0.02589100328758642
